furniture-10030001,かぼちゃクマさん
furniture-10003804,深夜のキッチン-キッチンセット
furniture-20003804,AR70：火加減はどうしましょう？//nS.A.T.8：Al dente！//nAR70：えーと……なんですか？//nS.A.T.8：あら、伝統を受け継ぐことこそ、イタリア料理の真髄なのよ。料理用語もちゃんとメンタルモデルに記録しておいてね。//nM38：それって……別に料理用語じゃないですよね……
furniture-10003805,深夜のキッチン-シンク
furniture-20003805,81式カービン：T91、意外と皿洗いが速いのですね。//nT91：ドリンクスタンドでアルバイトしていたことがあるんです。にしても、あなたも十分速いじゃないですか。何か経験がおありなんですか？//n81式カービン：えーと、列車の勤務で……あの『ピーナッツ、ビール、ソーセージはいかがでしょうか。すみません、足引っ込めてください！』ってやつで……
furniture-10003806,深夜のキッチン-キッチンカウンター
furniture-20003806,Fr FAMAS：AAT-52、このパンはそんなに膨らませる必要はないですから、//n切り込みは必要ないですよ。//nAAT-52：膨らませる？切り込みって楽しいからやるものじゃなかったんだ！
furniture-10003807,深夜のキッチン-業務用冷蔵庫
furniture-20003807,ウェルロッドMkⅡ：もう二度と夜中に開けません！ブレンが作ったニシンのパイは恨めしそうに私を見つめていましたし、リべロールが入れたヤツメウナギなんか……生きてましたよ！
furniture-10003808,深夜のキッチン-業務用洗濯機
furniture-20003808,P7：チャオ！そこの可愛いお嬢さん！赤ワインとパンはいかが？もっとグラマーになれますよ！//nSPAS-12：え？そんなのコーラとハンバーガーで十分だよ。//nARX-160：そう？じゃあ試してみようかな……//nP7：一口で食べちゃってね……掃除が面倒くさいから。
furniture-10003809,深夜のキッチン-キッチンスツール(左)
furniture-20003809,M500：ねえ、おチビちゃん。ちょっと手伝ってくれない？//nSuper-Shorty：やだよ。テーブルに手届かないもん……//nM500：そこに椅子があるじゃない！//nSuper-Shorty：高すぎて、やっぱり届かないんだもん……
furniture-10003810,深夜のキッチン-キッチンスツール(右)
furniture-20003810,M500：ねえ、おチビちゃん。ちょっと手伝ってくれない？//nSuper-Shorty：やだよ。テーブルに手届かないもん……//nM500：そこに椅子があるじゃない！//nSuper-Shorty：高すぎて、やっぱり届かないんだもん……
furniture-10003811,深夜のキッチン-キッチンシェルフ
furniture-20003811,m45：あら？Ak 5、さっき私がオーブンから出したパンを見なかった？//nAk 5：さっき……P7が魚の缶詰と一緒に持って行ったような……//nん？m45姉様、なに笑ってるんですか？m45姉様？
furniture-10003812,深夜のキッチン-キッチンハンガー
furniture-20003812,79式：見てください、スーパーバイザー！あと少し塩を足せば、次の工程に進めます！//nMP40：少しって……どれくらいですか？//n79式：お好みで？//nMP40：（メモを取りながら）79式の言語および数学モジュールは再度オーバーホールの必要がありますね。
furniture-10003813,深夜のキッチン-キッチンのブラインド
furniture-20003813,PSM：……素敵な夜ですね。//nトカレフ：今食べてるパンに缶詰のニシンが詰まっていても？//nPSM：味は良いじゃないですか。どうしてこの前は、みんな不味いって言ってたんでしょう？//nトカレフ：ん～、それはきっと……みんなあなたを驚かしたかったんじゃない？
furniture-10040019,カフェ壁紙
furniture-20040019,
furniture-10040020,カフェ蛍光灯
furniture-20040020,
furniture-10040021,カフェフロア
furniture-20040021,
furniture-10040022,カフェカーペット
furniture-20040022,
furniture-10040023,カフェバーカウンター
furniture-20040023,
furniture-10040024,カフェラック
furniture-20040024,
furniture-10040025,カフェ壁掛け
furniture-20040025,
furniture-10040026,カフェフロア音響
furniture-20040026,
furniture-10040027,カフェテーブル(左)
furniture-20040027,
furniture-10040028,カフェテーブル(中央)
furniture-20040028,
furniture-10040029,カフェテーブル(右)
furniture-20040029,
furniture-10040030,カフェコーヒー豆キャニスター
furniture-20040030,
furniture-10040031,カフェ椅子(左)
furniture-20040031,
furniture-10040032,カフェ椅子(右)
furniture-20040032,
furniture-10040033,カフェハイスツール
furniture-20040033,
furniture-10040034,カフェバーカウンター裏板
furniture-20040034,
furniture-10040035,カフェバーカウンター冷蔵庫
furniture-20040035,
furniture-10040036,コーヒーマシン
furniture-20040036,
furniture-10040037,レコードプレーヤー
furniture-20040037,
furniture-10040038,ノート
furniture-20040038,
furniture-10040039,カフェ椅子(ロング)
furniture-20040039,
furniture-10040040,カフェハイスツール(対話なし)
furniture-20040040,
furniture-10040041,カフェハイスツール(ロング)
furniture-20040041,
furniture-10040042,カフェフロア
furniture-20040042,
furniture-10040043,カフェバリケード
furniture-20040043,
furniture-10040044,カフェバリケードライン
furniture-20040044,
furniture-10040045,本棚
furniture-20040045,
furniture-10040046,映写機
furniture-20040046,
furniture-10003601,酒と避難所-「栄光のアルバム」タイル
furniture-20003601,人間の活動が記録されている地殻の化石。人間と人形は同じように靴を履き、靴底にガムで印をつけるのが好きだということを示している。
furniture-10003602,酒と避難所-「免罪符」ラグ
furniture-20003602,昔、街に放火して略奪を行った強盗がこれを買わされて、その上で跪き、懺悔するよう迫られた。そして名前に「馮」と加えられ、罪人の烙印を押された。
furniture-10003603,酒と避難所-「悪魔の手術台」バーカウンター
furniture-20003603,この小さな個人診察台では、人間の様々な心の病気を治療したり、それをさらに悪化させたり……少なくともその問題がもう問題ではなくなるようにした。
furniture-10003604,酒と避難所-「より危険な狼」バイク
furniture-20003604,動物保護団体の抗議により、人間は動物に乗るのをやめて機械に変更したが、そのために落下や死傷事故が大幅に増加したと一般的には考えられている。
furniture-10003605,酒と避難所-「老犬のベッド」ソファ
furniture-20003605,犬はどこで探せばいいの？おとなしく忠実で、耳は垂れてて、人形を咬まない犬がいいわ。あと、この怪しげ場所でも発狂しなければ最高ね。
furniture-10003606,酒と避難所-「ストリートパーカッション」ビリヤード台
furniture-20003606,人間は短い休暇の中で、体を動かすことと精神的に楽しむことの両立が難しいため、このようなスポーツが生まれた。囲碁サッカー部も同様。
furniture-10003607,酒と避難所-「産業的尺度」ラック
furniture-20003607,造物主たちは様々な物事の価値を推し量るのが好きらしい。彼らは貴重なものをここへ入れ、そして死ぬまで動かさない。
furniture-10003608,酒と避難所-「パンドラの箱」物資箱
furniture-20003608,箱にはいったん開くと、互いに殺し合う惨劇が引き起こされる、と書かれている。希望に関しては……生き延びた者こそが希望だ。
furniture-10003609,酒と避難所-「リサイクルステーション」テーブル
furniture-20003609,人間は不用品をここに残し、片付けられるのを待つのが好きらしい……私たちがそれを知っているのは、こうした品々がいつまでたっても回収されていないからだ。
furniture-10003610,酒と避難所-「ちびの助っ人」スツール
furniture-20003610,「この道具は、人間が背の高さで同類を差別することを証明している。そうだろ、チビ？」「そうかもしれないが、とにかくまずは放せ。殺しはしないから。」
furniture-10003611,酒と避難所-「ストーリー・トリガー」チェア(左)
furniture-20003611,人にはそれぞれ語りつくせぬ物語があるが、そんなこと誰が気にするだろうか？戦争が尽きないのは、皆自分こそが不幸だと思っているからだ。
furniture-10003612,酒と避難所-「ストーリー・トリガー」チェア(右)
furniture-20003612,人にはそれぞれ語りつくせぬ物語があるが、そんなこと誰が気にするだろうか？戦争が尽きないのは、皆自分こそが不幸だと思っているからだ。
furniture-10003613,酒と避難所-「チョコレート」レンガ
furniture-20003613,人間の成長など、まったく無意味なものに思える。それは思い切って悪いことをするのを無邪気と称し、おそるおそる良いことをするのを成熟と称しているからだ。
furniture-10003614,酒と避難所-「新人のライオットシールド」標的
furniture-20003614,これが現代の盾の原形だと信じているのには理由がある。弾痕だらけで、よく暴力的なシーンで登場するからだ。
furniture-10003615,酒と避難所-「オリーブの枝」ライト
furniture-20003615,「オリーブの枝を投げる」というのは、古い新聞に出てくる分かりにくい用語の1つだった。この折れ曲がった電撃凶器と結び付けられるまでは。
furniture-10003616,酒と避難所-「忙しい人お断り」非常口
furniture-20003616,とても興味深いことに、入ってくるのは締切が迫っている者ばかり。まだ余裕のある子たちは……今日は飲みたくないのかもしれない。
furniture-10003617,酒と避難所-「人間の遺産」バー・サイン
furniture-20003617,これらは多くの人間たちの宿願を表している。シンプルで美しいが、なぜ実現できないのかは分からない。それは平和な時代においても同じだ。
furniture-10050201,怪談大会-猫のソリスト
furniture-20050201,2018ハロウィンの特典ポスター。
furniture-10050202,怪談大会-お散歩ネコ
furniture-20050202,どこから来たのか分からない猫。正体がバレないよう変装させられているだけなのかも？人に飛びつくのが好きで、何か嗅ぎまわっているようにも見えるが……深く追究しないほうが良さそうだ。
furniture-10050203,怪談大会-ハロウィン・サプライズ
furniture-20050203,2018ハロウィンの特典ポスター。
furniture-10003901,ハロウィンタウン-腐りきった国
furniture-20003901,腐った雑草が足元で泣き叫んでいても、あなたは何をしてやることもできない。ここにはいつも人が秘密を探しにやって来るが、秘密が教えてくれるのは、貴方の死にざま。
furniture-10003902,ハロウィンタウン-霧で霞んでいない石畳
furniture-20003902,この石畳ならゾンビが湧いて出てくることはできないだろう。しかし、石畳の下で何かが蠢く音が、もっと恐ろしい何かを示唆している。
furniture-10003903,ハロウィンタウン-暗黒の森
furniture-20003903,よぎる黒い影に、くぐもった吼え声……これはきっと死出の道だ。だが、未知は死と同じように人を惑わせる。あるいは両者に何ら違いはないとも言えよう。
furniture-10003904,ハロウィンタウン-怪しいキャンディショップ
furniture-20003904,表には「1回1個まで」と書いてある。何やら予感がする。言いつけを守らない子は、木のほらの中にいる何かに捕まえられてしまうのだろう。
furniture-10003905,ハロウィンタウン-アンデッドの焚火
furniture-20003905,焚き火に当たっていると生きていることを実感する。もしかしたら、自分の中の黒い部分が炎に心を止め、あなたを引き寄せて破滅を免れ、新たな生を手に入れるかもしれない。
furniture-10003906,ハロウィンタウン-荒れた墓地
furniture-20003906,墓碑が倒れている方向はある場所へ導いているようだが、それが何を意味するのかは分からない。大して悪意のない冗談だといいのだが……
furniture-10003907,ハロウィンタウン-ユニコーンの霊体
furniture-20003907,外見がやや「稀薄」なユニコーンがあなたの助けを待っている。口笛を吹いて合図をすれば、あなたを自分の行きたい場所へ連れて行くだろう。
furniture-10003908,ハロウィンタウン-邪悪な道しるべ
furniture-20003908,何と書いてあるのかはっきりしないが、やはり気になって触れてみる。人生は背負っているものが少ないほど、あっさり死ねるものなのだ。
furniture-10003909,ハロウィンタウン-スレイブフェンス
furniture-20003909,フェンスの向こうから鎖を引きずる音がするが、何も見えない。相手の正体を見てしまわないよう、音が近づいて来る前に立ち去ることにした。
furniture-10003910,ハロウィンタウン-恐怖の果て
furniture-20003910,ゲートはあなたを歓迎している、中で一杯なにか飲もう。少々気持ちを落ち着かせたら、夜明け前にここから離れられるように祈ろう。さもないと永遠に目を覚ますことはないだろう。
furniture-10003911,ハロウィンタウン-花嫁の安息の地
furniture-20003911,何やら小声が聞こえて見てみると、1人の少女がそこに横たわっていた。誰かが指輪で彼女の目を覚めさせるのを待っている、というか、アイスクリームでもいい……らしい。
furniture-10003912,ハロウィンタウン-魔法使いの大桶
furniture-20003912,桶を叩くと、中からぞんざいな声がした。「桶なんかいっぱいある、好きに選べ！」……恐らく次は酒場か。
furniture-10003913,ハロウィンタウン-魔法の馬車
furniture-20003913,馬車を覗いたが中にはシンデレラはもちろん、他の誰もいない。危険が迫ったときには隠れられそうだが、これは馬車が中の人を食べなければの話。
furniture-10003914,ハロウィンタウン-流刑地への道
furniture-20003914,あそこへ行けるのは罪人だけ。彼らは命を失ってここで消えるか、魂を奪われてここの新しい主人となるのだ。
furniture-10003915,ハロウィンタウン-悪霊の城
furniture-20003915,やがて、城の門が開かれる。あなたの心の中にはいったい何が住んでいるのか？それが今夜、あなたをここから生かすための答えになるかもしれない。
furniture-10004001,花房のお茶会-ソフトタイル
furniture-20004001,静かな環境を作る柔らかいフロア。「君の足跡はいつか一つにつながって、誰かの光の道しるべになる。」
furniture-10004002,花房のお茶会-小さな芝生
furniture-20004002,小さな花を散りばめた芝生。「私が思い出せたのは、出会いの足跡と、私たちの足元に咲いていた花の香り。」
furniture-10004003,花房のお茶会-ガラスの壁
furniture-20004003,悪天候を避けられるガラスの壁。「晴れでも雨でもくもりでも大丈夫、ここには天気予報士が28人もいるんだから！」
furniture-10004004,花房のお茶会-お茶会のテーブル
furniture-20004004,デザートや飲み物を並べたテーブル。「気持ちよさそうに空を飛ぶ銀色のスプーン、口の中でとろけたお月さま。」
furniture-10004005,花房のお茶会-生け垣
furniture-20004005,手入れの行き届いた生け垣。「名前は知らないけれど、君は越えなければいけない高い壁で、僕を転ばせて泣かせようとしている。」
furniture-10004006,花房のお茶会-小さな花壇
furniture-20004006,装飾用の小さな花壇。「空高くを飛ぶ鳥は、風の歌声を知るだろう。真っ赤に咲いた花は、永遠の夢を見るだろう。」
furniture-10004007,花房のお茶会-咲き始めの花々
furniture-20004007,蕾を開き始めたばかりの小さな花たち。「咲いたばかりの花が僕の行く旅路を示しだす。遠くへ行けるように、貴方のそばにたどり着けるように。」
furniture-10004008,花房のお茶会-満開の花々
furniture-20004008,完全に咲き揃った鮮やかな花々。「ここで僕らを訪ねてくるのは、世界で一番暖かい春。耳を傾けるてみて、花たちの声が聞こえてくるでしょう？」
furniture-10004009,花房のお茶会-吊り下げられた花々
furniture-20004009,天井から吊るした装飾用の花。「ふんわりと波紋を描き、ひらりと花びらが舞い落ちる。ぱらりと弧を描き、ひらひらと蝶が舞っていた。」
furniture-10004010,花房のお茶会-温室のカウチ
furniture-20004010,ティーパーティー用のソファ。「クマ！どこにいるの？ここだ！見つけたよ！真っ白でふわふわだ！あたたかいホワイトモカを手に、楽しい会話を繰り広げましょう！」
furniture-10004011,花房のお茶会-黄昏の荒原
furniture-20004011,夕暮れ時の平原の遠景。「一年に一度現れる道を走りながら、大人みたいに夕暮れに照らされる。砂時計の中に生きる私たちは一体何者なんだろう、少ないけれど、残された時間の中で探してみる。」
furniture-10004012,花房のお茶会-林立する木々
furniture-20004012,密集する大きな樹木。「木漏れ日が輝く中、しずくは煌きながら歌っている。私の目が眠りについてる間に見たものは、あなたが見た夢だ。」
furniture-10004013,花房のお茶会-噴水
furniture-20004013,石製のクラシカルな噴水。「私は天使ではなく、水辺の花にしかなれない。こうでしかあなたの心を落ち着かせられないから。」
furniture-10004014,花房のお茶会-フラミンゴ
furniture-20004014,絶滅したフラミンゴ……の装飾。「空は飛べないけれど、僕には夢という名の翼がある。もっと頑張って、もっと大きくなったら、きっと空を飛べるはず！」
furniture-10004101,キングステーラー-「古き格調」タイル
furniture-20004101,古典的、伝統的なものを片時も忘れないこと。いつでも完璧にそれらを破壊できるようにね。
furniture-10004102,キングステーラー-「再利用」カーペット
furniture-20004102,お酒を零したからカーペットを捨てる？なら傷跡と失敗は同じだね。
furniture-10004103,キングステーラー-「スタートプラン」カウンター
furniture-20004103,目的を達成するためには、多くのプランを実行することが大事だけど、もっと大事なのは、それより多くのプランを諦めること。
furniture-10004104,キングステーラー-「三思後行」クローゼット
furniture-20004104,実力が伴っていないのなら言動は慎むべきだ。そして、その実力を得たのならば、更にそうするべきだ。
furniture-10004105,キングステーラー-「火遊び禁止」ミシン
furniture-20004105,自分の限界は常に意識しておくべきだ。知らないのならば、探りに行け。
furniture-10004106,キングステーラー-「自己観察」姿見鏡
furniture-20004106,今の自分をよく覚えておけ。任務が終わっても、その自分でいるよう努めろ。
furniture-10004107,キングステーラー-「模範的スタイル」ラック
furniture-20004107,服を十分用意しておけば、任務終わりに時間どおり人と会うことだってできるんだ。時間はいつだってお金よりも大切なのさ。
furniture-10004108,キングステーラー-「型破りな妥協」ラック
furniture-20004108,交渉が行き詰まったら、優先度順で取捨選択を行うんだ——「妥協は全員の見解だが……私の妥協はこれだ。」
furniture-10004109,キングステーラー-「装うテクニック」丸テーブル
furniture-20004109,身だしなみとマナーは一種の自己制限だ。アフタヌーンティーで、あの野獣どもとの内面的な差を広げねばならない。
furniture-10004110,キングステーラー-「一般教養」ディスプレイ台
furniture-20004110,常に万全を期すことは不可能だが、それこそが諦めがつかない理由だ——「この世は決して完全ではない。だからこそ美しい。」
furniture-10004111,キングステーラー-「名を馳せる」椅子
furniture-20004111,孤立無援で劣勢、それはより華麗な反撃だけを意味する——「最後の1回、この神聖な心臓を目の当たりにすると、人は皆それがまもなく綻ぶことを知る。」
furniture-10004112,キングステーラー-「面会マナー」ソファ
furniture-20004112,主役が来るまでの気まずい沈黙のやり過ごし方なんて、アングラの大物にとってはほんの基本スキルだ。
furniture-10004113,キングステーラー-「事件の前に」壁紙
furniture-20004113,どんなに小さな手掛かりも見逃してはならない——「知性を持つ生物は皆、判断を誤る可能性がある。狼も、人も、絶対に過ちを犯さぬ者などいない。」
furniture-10004114,キングステーラー-「遠大な目標」壁飾り
furniture-20004114,未来の目標は常に過去の己から生じ、今の一時的な衝動からは生まれない。
furniture-10004115,キングステーラー-「ノック無用」ショーウィンドウ
furniture-20004115,ドアが君を招き入れてくれることもあえば、自ら窓を破って入らないといけないこともある。ただ気付かれにくいだけで、チャンスはいつだってそこにあるんだ。
furniture-10004116,キングステーラー-「迷いを振り払う」シーリングファン
furniture-20004116,迷いを急いで振り払おうとせず、享受せよ。本当に嫌気が差してくるまでは。
furniture-10004201,航空展示場-展示場タイル
furniture-20004201,私たちは様々な方法を駆使して大地の束縛から逃れ、そして様々な苦難を乗り越えてその懐への帰還を渇望する。これがSF精神だ。
furniture-10004202,航空展示場-ミニ滑走路
furniture-20004202,本物の飛行機を飛ばすことはできないが、ミニ四駆でレースをすることはできる。それか、小柄な人形……とかでも。
furniture-10004203,航空展示場-V2ミサイル展示台
furniture-20004203,P08：塗装がシャチみたいですね。残酷で、高効率で、可愛い！
furniture-10004204,航空展示場-ミサイル「タウルス」展示台
furniture-20004204,Gr MG5：もしかしてこの空っぽの筐体……カヌーに改造できるんじゃないのか？
furniture-10004205,航空展示場-現代の飛行機模型
furniture-20004205,より高い機動性と、より安定した操縦で……この話はやめましょうか。単尾翼と双尾翼では、どちらが好きですか？
furniture-10004206,航空展示場-昔の飛行機模型
furniture-20004206,造形や塗装のバリエーションが豊かなあの時代を嫌いになりたい人はいるのだろうか？現代の人はますます賢くなり、そしてますますロマンを失う。
furniture-10004207,航空展示場-初期の飛行機模型
furniture-20004207,空を駆けるという夢のため、私たちは大きな犠牲を払ってきた。しかし夢を実現してからは、さらなる犠牲を払うかもしれない。
furniture-10004208,航空展示場-民間回転翼機の模型
furniture-20004208,技術的に、空を飛ぶという夢は簡単に実現できる。しかし、空を征服するカギとなるのはやはり勇気だ。
furniture-10004209,航空展示場-空き展示台
furniture-20004209,次に登場する武器は何でしょう？先にお断りしておきますが、当社は人形をミサイルとして発射することはありません。
furniture-10004210,航空展示場-ミサイル「スティクス」展示台
furniture-20004210,MP-446：大きな魚みたい、飼えるかな？
furniture-10004211,航空展示場-ミサイル「ペチョラ」展示台
furniture-20004211,マカロフ：大きなサインペンみたいね。私より大きな軍用人形に使わせるものなの？
furniture-10004212,航空展示場-ミサイル「トマホーク」展示台
furniture-20004212,イングラム：人間を入れられそうですね……あ、安心してください、丸ごと入れるとは言ってません。
furniture-10004213,航空展示場-展示場ベンチ
furniture-20004213,ちょっと休憩してから先へ進みましょう。ゆっくり歩けば、青空も私たちに追いつくかもしれません。
furniture-10004214,航空展示場-展示場壁紙
furniture-20004214,勝手に登らないでください。どんなに高い所まで登っても、空は遥か遠いままです。
furniture-10004215,航空展示場-展示場照明
furniture-20004215,やけどに気をつけて。私たちは光に頼るしかなく、それを所有したり、或いはそのものになることはできないのです。
furniture-10050302,命懸けの公演-黒いスポーツバイク
furniture-20050302,AEK-999お気に入りのバイク。しかし、彼女がこれに乗るときは服も着替えるため、このバイクの存在は仲のいいツーリング仲間にしか知られていない。
furniture-10050102,クワスタンク車
furniture-20050102,思う存分飲むことのみが、本場のクワスの美味に対する礼儀となり得る。
furniture-10050103,聖夜の宴
furniture-20050103,クリスマスイブのパーティー開始前に撮影された貴重な一枚。なぜ貴重かと言うと、パーティーが始まってしまえば、人形であろうと食べ物であろうと見るに堪えない姿に変わってしまうからだ。
furniture-10002002,クリスマス特売ビーズクッション
furniture-20002002,祝日の雰囲気により当社比二倍の磁力が働く仕様。座ったら最後、二度と立ち上がれなくなる。
furniture-10002003,クリスマスパグ
furniture-20002003,クリスマスのために精一杯のおめかしをしたパグ犬。どうやら今日が何を祝う日かをわかっていないみたいだが、胸中では今晩のパーティーをありがたく思っているようだ。
furniture-10004301,給料日-銀行のタイル
furniture-20004301,銀行の床には埃の一つもあってはならない。なにが落ちようとも我々スタッフがすぐさま清掃を行う。たとえ落ちたのが貨幣や爆弾、かつては生きていた何かであっても。
furniture-10004302,給料日-防犯トラップ
furniture-20004302,たいていの人形には効き目がない。そのため一部の人間には、人形は人間を模した失敗作で、文明が始まって以来最も素晴らしいものにさえ心を動かされない、と思われている。アイスクリームだったら別なんだけどね。
furniture-10004303,給料日-運搬用フック
furniture-20004303,高価な貨物の運搬や、人形を引っ掛けてブラブラさせるのに使用される。知識には一体どのような意味があるのだろうか？人間、人形、類人猿、これらには一体どんな違いがあるのだろう？
furniture-10004304,給料日-受付カウンター
furniture-20004304,投資関連のご相談でしたら、まずはカウンターの受付人形にお尋ねください。安全に関するご相談でしたら、まずはカウンター上の戦利品をご覧ください。
furniture-10004305,給料日-銀行ののぼり
furniture-20004305,旗にあるマークがここのスタッフの来歴を物語っている。彼女たちはお客様に寄り添ったサービスを提供してくれるし、犯罪が起こってもすぐさま犯人を取り押さえてくれる。……しかも給料は一人分しか取らない。
furniture-10004306,給料日-セーフティーボックス
furniture-20004306,貴重品をこの中に入れておけば、彼らが責任をもって保管してくれる。心以外のものは、一旦人に預けてしまったら、もう「貴重」とは呼べなくなってしまうのだけれどね。
furniture-10004307,給料日-積み重なった国際通貨(大)
furniture-20004307,黄金は世界中のどんなものとでも交換することができるが、唯一幸福とだけは交換できない。なぜなら黄金を手に入れたと同時に幸福も手に入るので。
furniture-10004308,給料日-積み重なった国際通貨(小)
furniture-20004308,たいていの人形は黄金の価値を理解していないので、黄金を持ち出してはそこらへんで失くしてくる。……もしかしたら、人間の言う価値は理解しているけど、人間のことを理解していないだけなのかも？
furniture-10004309,給料日-カウンターの観葉植物
furniture-20004309,人間はいろいろなところに植物を設置し、自身がかつての環境と共にあった、と証明したがる。その後それを自らの手で壊し、新しい制度を作り出す。ずっとこの繰り返しだ。
furniture-10004310,給料日-銀行内通貨
furniture-20004310,グリフィンの人形間にのみ流通している紙幣。小隊によってレートが大幅に異なっているらしい。目が覚めたらこの中から一束抜き取って、ロリポップ何本かと交換しに行こう！
furniture-10004311,給料日-銀行の電動搬送車
furniture-20004311,銀行内で荷物の運搬に使用している運搬車。全自動運転でも問題ないのだが、一部の人形は自ら運転することを好むため……事故の発生はそのまま持続性をもったデフレーションを意味する。
furniture-10004312,給料日-防犯壁紙
furniture-20004312,私たちは壁に電気を通すことなどしない。電気程度じゃ不法侵入者に甘すぎるでしょ？
furniture-10004313,給料日-銀行の保管庫
furniture-20004313,少し損害をはっきりさせる必要がありそうだ、蛍光灯を見てくれないか？もういくつも寿命で点かなくなってしまってね。……お金？何の？もうとっくに使い切ったよ。今ここは、金箔チョコ置き場になっているんだ。
furniture-10004314,給料日-暴走車の壁掛
furniture-20004314,これは単なるカッコいい壁掛。本物の車がこんな風に飛び込んでこれるわけがない。クリスマスイブの晩のAK-47たちを除けばだが……あの晩彼女たちはいったいどれほど飲んだのだろうか。
furniture-10004315,給料日-銀行の監視カメラ
furniture-20004315,彼はみんなの行動全てを知っている。唯一彼でも知らないのが自分が何をしているか。だけどこれが監視カメラの一生で、彼を気にしてくれるのは悪い人だけだし、事件が起きないと誰も彼のことなんて思いださないのだ。
furniture-10004401,クリスマスの小部屋-あったかフロア
furniture-20004401,気を付けて！柔らかすぎる人形が上に乗ったら溶けちゃうから！
furniture-10004402,クリスマスの小部屋-「冬の宴」絨毯
furniture-20004402,無邪気な人形ならこの模様が気に入るだろうし、真面目な人形ならきちんと整ったこのデザインを気に入るはず！RFBが気に入るのはドット絵のゲーム画面だろうけど。
furniture-10004403,クリスマスの小部屋-冬の蔵
furniture-20004403,絶対にSPAS-12の前で食べ物が足りてるなんて言っちゃダメ！去年一匹のサメが倉庫の中の物全部食べちゃったって聞いたことある？そう、伝説なんてものは冗談半分で聞いておくのが一番。だって食べちゃったのは倉庫の半分だし……
furniture-10004404,クリスマスの小部屋-部族風暖炉
furniture-20004404,暖炉の前にはゆったりとしたお話とそれを聞く子供がいる。もし人類がこんなふうに文明を伝えていたら、母なる地球もだいぶ楽になれるのに。
furniture-10004405,クリスマスの小部屋-「冬季訓練」地形模型
furniture-20004405,仕事は休暇をより貴重で輝かしいものたらしめる。人々が苦労を美徳とするように、また生者が死者を賛美するように。
furniture-10004406,クリスマスの小部屋-「冬の祭典」プレゼント
furniture-20004406,嬉々としてプレゼントを開封するも、中身が空っぽであることに気付く人形たちの表情を眺めることは、指揮官の大きな楽しみの一つである。ただ、予め怪我による休職を申請しておくべきかも。
furniture-10004407,クリスマスの小部屋-冬の食卓
furniture-20004407,体重が気になる？今を楽しむことさえできないのなら、この先の幸せをつかみ取ることもできやしないよ？
furniture-10004408,クリスマスの小部屋-部族風ソファ
furniture-20004408,伝統工芸もそうだが、失われて初めて大切に扱われるものはたくさんある。失われて初めて、それは稀有で値打ちのあるものと化すからだ。
furniture-10004409,クリスマスの小部屋-だらだらクッション
furniture-20004409,ひとたび吸い込まれればもう起き上がることはできない。「怠惰力」こそ、重力を超越した自然界五つ目の力だ！
furniture-10004410,クリスマスの小部屋-部族風の壁
furniture-20004410,素晴らしい事物ほど古い時代には消し去られ、今の時代まで受け継がれ、人々がこぞって群がるもの、それを不朽と呼ぶ。
furniture-10004411,クリスマスの小部屋-部族風彫刻
furniture-20004411,人類の祖先は実際目の当たりにしたものを再現することに喜びを覚えたが、近頃の人類は実際には触れられないものを描き出すのが好きらしい。
furniture-10004412,クリスマスの小部屋-「冬の願い事」ショーウィンドウ
furniture-20004412,願い事はもう叶わないかもしれないけど、せめてもの希望はあると自分に言い聞かせたいものだ。何もかもが上手くいかない日でも、あの日思い描いた幸せを忘れないで。
furniture-10004501,海賊の秘宝-湿ったい甲板
furniture-20004501,甲板での喧嘩、ゴミ捨て、そしてローラースケートは禁止！落水した人形を掬い上げるのは大変だから！
furniture-10004502,海賊の秘宝-太陽と風の窓
furniture-20004502,気にするな、海も所詮大き目の水槽に過ぎない。ただ、お前が閉じ込められている場所が少し狭いだけだ。
furniture-10004503,海賊の秘宝-お宝の山
furniture-20004503,魂を売って手に入れたお宝、その上で安眠できるのかしら？……魂がないなら余計ぐっすり眠れるでしょ！
furniture-10004504,海賊の秘宝-未完成の海図
furniture-20004504,人々は枠に囚われることを嫌いながらも、いつも自分たちの枠を探し求める。希望の待つ先にあるのは常に絶望、しかしそれでも人々はそれを追い求めるのだ。
furniture-10004505,海賊の秘宝-正義の火力
furniture-20004505,海の正義とは生き残ること。他のことはまた陸で話そう。
furniture-10004506,海賊の秘宝-お悩み相談購買部
furniture-20004506,ここではあらゆる答えを見つけられる。敵も、味方も、皆一緒だ。
furniture-10004507,海賊の秘宝-海上ファーストフード
furniture-20004507,もしも突然これが美味しいと口にするやつがいたら、その異様な目つきと奇妙な行動に十分なご注意を。
furniture-10004508,海賊の秘宝-反逆の懺悔室
furniture-20004508,中でちゃんと反省しなさい！ブランコもダンスも禁止よ！
furniture-10004509,海賊の秘宝-運命のテーブル
furniture-20004509,お前の全財産をここに賭けるといい、何故なら明日それを使える保証などどこにも存在しない。運命とは、そういう取るに足らないものだ。
furniture-10004510,海賊の秘宝-深きもの
furniture-20004510,あれに何を言われようが耳を傾ける必要はない、海へ戻せ。繰り返す、あれに何を言われようが耳を傾ける必要はない、しかも美味しくない、海へ戻せ。
furniture-10004511,海賊の秘宝-話好きの椅子（左）
furniture-20004511,誰もお前の話など聞いていない、みんなただ退屈しているだけだ。大口でも叩かなければ、お互い傷つき合うしかない。
furniture-10004512,海賊の秘宝-話好きの椅子（右）
