achievement-10000001,小さな喜び
achievement-20000573,妖精を100回強化する
achievement-30000573,
achievement-10000574,アヴァロンの守護者
achievement-20000574,妖精を500回強化する
achievement-30000574,
achievement-10000575,千夜一夜
achievement-20000575,妖精を1000回強化する
achievement-30000575,
achievement-10000576,ネバーランド
achievement-20000576,妖精を2000回強化する
achievement-30000576,
achievement-10000577,虹の果て
achievement-20000577,妖精を5000回強化する
achievement-30000577,
achievement-10000578,森の妖精
achievement-20000578,妖精のスキルを初めてレベルアップする
achievement-30000578,
achievement-10000579,谷の妖精
achievement-20000579,妖精のスキルを10回レベルアップする
achievement-30000579,
achievement-10000580,洞穴ゴブリン
achievement-20000580,妖精のスキルを20回レベルアップする
achievement-30000580,
achievement-10000581,ウンディーネの泉
achievement-20000581,妖精のスキルを50回レベルアップする
achievement-30000581,
achievement-10000582,岩礁の上のセイレーン
achievement-20000582,妖精のスキルを100回レベルアップする
achievement-30000582,
achievement-10000583,バンシー
achievement-20000583,妖精のスキルを200回レベルアップする
achievement-30000583,
achievement-10000584,ゴルゴン三姉妹
achievement-20000584,妖精のスキルを500回レベルアップする
achievement-30000584,
achievement-10000585,メンタルアップグレード
achievement-20000585,初めてメンタルアップグレードを行う
achievement-30000585,
achievement-10000586,The Girl from IOP
achievement-20000586,累計で5回メンタルアップグレードを行う
achievement-30000586,
achievement-10000587,彼女の想いで
achievement-20000587,累計で10回メンタルアップグレードを行う
achievement-30000587,
achievement-10000588,人形の惑星
achievement-20000588,累計で20回メンタルアップグレードを行う
achievement-30000588,
achievement-10000589,メトロポリス
achievement-20000589,累計で50回メンタルアップグレードを行う
achievement-30000589,
achievement-10000590,時計じかけのチョコ
achievement-20000590,累計で100回メンタルアップグレードを行う
achievement-30000590,
achievement-10000591,12コーラ
achievement-20000591,累計で200回メンタルアップグレードを行う
achievement-30000591,
achievement-10000592,グリフィンヒッチハイク
achievement-20000592,累計で300回メンタルアップグレードを行う
achievement-30000592,
achievement-10000593,ブレードガンナー2064
achievement-20000593,累計で400回メンタルアップグレードを行う
achievement-30000593,
achievement-10000594,2064年宇宙の旅
achievement-20000594,累計で500回メンタルアップグレードを行う
achievement-30000594,
achievement-10000595,心意技
achievement-20000595,初めて戦術人形のスキル2を解放する
achievement-30000595,
achievement-10000596,ツームストーン・パイルドライバー
achievement-20000596,スキル2を解放した戦術人形が5体になる
achievement-30000596,
achievement-10000597,ピープルズ・エルボー
achievement-20000597,スキル2を解放した戦術人形が10体になる
achievement-30000597,
achievement-10000598,ジャーマン・スープレックス
achievement-20000598,スキル2を解放した戦術人形が20体になる
achievement-30000598,
achievement-10000599,バティスタ・ボム
achievement-20000599,スキル2を解放した戦術人形が50体になる
achievement-30000599,
achievement-10000600,ブローグ・キック
achievement-20000600,スキル2を解放した戦術人形が100体になる
achievement-30000600,
achievement-10000601,ウォールズ・オブ・ジェリコ
achievement-20000601,スキル2を解放した戦術人形が150体になる
achievement-30000601,
achievement-10000602,ハイ・クロス
achievement-20000602,スキル2を解放した戦術人形が200体になる
achievement-30000602,
achievement-10000603,平和主義者
achievement-20000603,特異点-メッセンジャー:戦役勝利時において1回も戦闘を行わない
achievement-30000603,
achievement-10000604,操り人形
achievement-20000604,特異点-プロモーションIII:戦役勝利時において人質部隊が敵部隊を12回撃破する
achievement-30000604,
achievement-10000605,エクスペンダブルズ
achievement-20000605,特異点-III:2部隊でS評価を獲得する
achievement-30000605,
achievement-10000606,ダークヴォイド
achievement-20000606,特異点-プロモーションI:戦闘勝利時において全ポイントを占領
achievement-30000606,
achievement-10000607,徒手にて死す
achievement-20000607,特異点-最終手段I:戦役勝利時において全味方部隊の弾薬が0になる
achievement-30000607,
achievement-10000608,The One
achievement-20000608,特異点のエンディングテーマを最後まで鑑賞する。
achievement-30000608,
achievement-10000609,金魚鉢
achievement-20000609,初めて全データパックをダウンロード完了する
achievement-30000609,
achievement-10000610,New Comic！！
achievement-20000610,カフェで5冊マンガを集める
achievement-30000610,
achievement-10000611,殺人許可証
achievement-20000611,中枢データを初めて手に入れる
achievement-30000611,
achievement-10000612,ジョーカーゲーム
achievement-20000612,中枢データを累計10個手に入れる
achievement-30000612,
achievement-10000613,ティンカー、テイラー、ドール、スパイ
achievement-20000613,中枢データを累計20個手に入れる
achievement-30000613,
achievement-10000614,ケンブリッジ・フォー
achievement-20000614,中枢データを累計50個手に入れる
achievement-30000614,
achievement-10000615,パンドラ・イエスタデイ
achievement-20000615,中枢データを累計100個手に入れる
achievement-30000615,
achievement-10000616,カオス・セオリー
achievement-20000616,中枢データを累計200個手に入れる
achievement-30000616,
achievement-10000617,ガンズ・オブ・ザ・グリフィン
achievement-20000617,中枢データを累計500個手に入れる
achievement-30000617,
achievement-10000618,メカドッグイーター
achievement-20000618,中枢データを累計1000個手に入れる
achievement-30000618,
achievement-10000619,ドーター・オブ・リバティ
achievement-20000619,中枢データを累計2000個手に入れる
achievement-30000619,
achievement-10000620,黒の旅
achievement-20000620,中枢データを累計5000個手に入れる
achievement-30000620,
achievement-10000621,戦争は火力
achievement-20000621,初めて火力支援小隊を解放する
achievement-30000621,
achievement-10000622,戦争は数
achievement-20000622,火力支援小隊を累計3個手に入れる
achievement-30000622,
achievement-10000623,戦争は口径
achievement-20000623,火力支援小隊を累計5個手に入れる
achievement-30000623,
achievement-10000624,戦争はマネー、マネー、マネー
achievement-20000624,火力支援小隊を累計10個手に入れる
achievement-30000624,
achievement-10000625,モノリス
achievement-20000625,データチップを初めて手に入れる
achievement-30000625,
achievement-10000626,ペルシカカリキュレイター
achievement-20000626,データチップを累計10個手に入れる
achievement-30000626,
achievement-10000627,バベッジ階差機関
achievement-20000627,データチップを累計100個手に入れる
achievement-30000627,
achievement-10000628,ジャカード織機
achievement-20000628,データチップを累計500個手に入れる
achievement-30000628,
achievement-10000629,ホレリスタビュレーティングマシン
achievement-20000629,データチップを累計1000個手に入れる
achievement-30000629,
achievement-10000630,ノルデン爆撃照準器
achievement-20000630,データチップを累計2000個手に入れる
achievement-30000630,
achievement-10000631,ツーゼプログラム装置
achievement-20000631,データチップを累計5000個手に入れる
achievement-30000631,
achievement-10000632,ファインマンの鉛筆
achievement-20000632,データチップを累計10000個手に入れる
achievement-30000632,
achievement-10000633,フェルミの計算尺
achievement-20000633,データチップを累計20000個手に入れる
achievement-30000633,
achievement-10000634,ノイマンの脳
achievement-20000634,データチップを累計30000個手に入れる
achievement-30000634,
achievement-10000635,結縄
achievement-20000635,初めてデータ再構築を行う
achievement-30000635,
achievement-10000636,宿題写し
achievement-20000636,データ再構築で累計10個データパッチを手に入れる
achievement-30000636,
achievement-10000637,ゴーストライター
achievement-20000637,データ再構築で累計20個データパッチを手に入れる
achievement-30000637,
achievement-10000638,写本修道士
achievement-20000638,データ再構築で累計50個データパッチを手に入れる
achievement-30000638,
achievement-10000639,伝典聖僧
achievement-20000639,データ再構築で累計100個データパッチを手に入れる
achievement-30000639,
achievement-10000640,パンチカード
achievement-20000640,データ再構築で累計200個データパッチを手に入れる
achievement-30000640,
achievement-10000641,レコーディングテープ
achievement-20000641,データ再構築で累計500個データパッチを手に入れる
achievement-30000641,
achievement-10000642,フロッピーディスク
achievement-20000642,データ再構築で累計1000個データパッチを手に入れる
achievement-30000642,
achievement-10000643,光ディスク
achievement-20000643,データ再構築で累計2000個データパッチを手に入れる
achievement-30000643,
achievement-10000644,メンタルモデル
achievement-20000644,データ再構築で累計5000個データパッチを手に入れる
achievement-30000644,
achievement-10000645,プロメテウスの火
achievement-20000645,初めて原始サンプルを使って情報解析を行う
achievement-30000645,
achievement-10000646,アルキメデスの浴槽
achievement-20000646,原始サンプルを使って累計10回情報解析を行う
achievement-30000646,
achievement-10000647,ピタゴラスの学派
achievement-20000647,原始サンプルを使って累計100回情報解析を行う
achievement-30000647,
achievement-10000648,エウクレイデスの幾何学
achievement-20000648,原始サンプルを使って累計200回情報解析を行う
achievement-30000648,
achievement-10000649,プトレマイオスの占星術
achievement-20000649,原始サンプルを使って累計500回情報解析を行う
achievement-30000649,
achievement-10000650,デカルトの座標
achievement-20000650,原始サンプルを使って累計1000回情報解析を行う
achievement-30000650,
achievement-10000651,ライプニッツの記法
achievement-20000651,原始サンプルを使って累計2000回情報解析を行う
achievement-30000651,
achievement-10000652,ニュートンのリンゴ
achievement-20000652,原始サンプルを使って累計5000回情報解析を行う
achievement-30000652,
achievement-10000653,ラグランジュの月
achievement-20000653,原始サンプルを使って累計10000回情報解析を行う
achievement-30000653,
achievement-10000654,ラプラスの悪魔
achievement-20000654,原始サンプルを使って累計20000回情報解析を行う
achievement-30000654,
achievement-10000655,ガウスの関数
achievement-20000655,初めて純正サンプルを使って情報解析を行う
achievement-30000655,
achievement-10000656,祖沖之の円周率
achievement-20000656,純正サンプルを使って累計10回情報解析を行う
achievement-30000656,
achievement-10000657,パレートの効率性
achievement-20000657,純正サンプルを使って累計50回情報解析を行う
achievement-30000657,
achievement-10000658,リーマンのゼータ関数
achievement-20000658,純正サンプルを使って累計100回情報解析を行う
achievement-30000658,
achievement-10000659,ケプラーの予想
achievement-20000659,純正サンプルを使って累計200回情報解析を行う
achievement-30000659,
achievement-10000660,ブールの代数
achievement-20000660,純正サンプルを使って累計500回情報解析を行う
achievement-30000660,
achievement-10000661,アーベルの方程式
achievement-20000661,純正サンプルを使って累計1000回情報解析を行う
achievement-30000661,
achievement-10000662,シャノンの暗号
achievement-20000662,純正サンプルを使って累計2000回情報解析を行う
achievement-30000662,
achievement-10000663,チューリングの論理
achievement-20000663,純正サンプルを使って累計5000回情報解析を行う
achievement-30000663,
achievement-10000664,ナッシュの均衡
achievement-20000664,純正サンプルを使って累計10000回情報解析を行う
achievement-30000664,
achievement-10000665,星は友情の魔法
achievement-20000665,初めて重装部隊をランクアップ
achievement-30000665,
achievement-10000666,星は素晴らしい祝福
achievement-20000666,重装部隊のランクアップを累計5回行う
achievement-30000666,
achievement-10000667,星は終わりなき冒険
achievement-20000667,重装部隊のランクアップを累計10回行う
achievement-30000667,
achievement-10000668,星は神秘の世界
achievement-20000668,重装部隊のランクアップを累計20回行う
achievement-30000668,
achievement-10000669,星は純愛の詩
achievement-20000669,重装部隊のランクアップを累計50回行う
achievement-30000669,
achievement-10000670,星は進撃の人形
achievement-20000670,重装部隊のランクアップを累計100回行う
achievement-30000670,
achievement-10000671,星は地獄の讃歌
achievement-20000671,重装部隊のランクアップを累計150回行う
achievement-30000671,
achievement-10000672,グリフィン・ハート勲章
achievement-20000672,初めて重装部隊を最高ランクにランクアップ
achievement-30000672,
achievement-10000673,グリフィン栄誉表彰
achievement-20000673,3個の重装部隊を最高ランクにランクアップ
achievement-30000673,
achievement-10000674,グリフィン十字紋章
achievement-20000674,5個の重装部隊を最高ランクにランクアップ
achievement-30000674,
achievement-10000675,グリフィン英雄賞
achievement-20000675,10個の重装部隊を最高ランクにランクアップ
achievement-30000675,
achievement-10000676,グリフィン名人殿堂
achievement-20000676,20個の重装部隊を最高ランクにランクアップ
achievement-30000676,
achievement-10000677,グリフィンヴァルハラ
achievement-20000677,30個の重装部隊を最高ランクにランクアップ
achievement-30000677,
achievement-10000678,タンクハンター
achievement-20000678,初めて重装部隊を最高レベルに上昇させる
achievement-30000678,
achievement-10000679,装甲殺し
achievement-20000679,3個の重装部隊を最高レベルに上昇させる
achievement-30000679,
achievement-10000680,鉄血清掃人
achievement-20000680,5個の重装部隊を最高レベルに上昇させる
achievement-30000680,
achievement-10000681,戦地の草刈り機
achievement-20000681,10個の重装部隊を最高レベルに上昇させる
achievement-30000681,
achievement-10000682,自走式災害
achievement-20000682,20個の重装部隊を最高レベルに上昇させる
achievement-30000682,
achievement-10000683,大量破壊兵器
achievement-20000683,30個の重装部隊を最高レベルに上昇させる
achievement-30000683,
achievement-10000684,努力は必ず報われる
achievement-20000684,初めて重装部隊の経験訓練を行う
achievement-30000684,
achievement-10000685,good good study、day day up
achievement-20000685,重装部隊の経験訓練を累計10時間行う
achievement-30000685,
achievement-10000686,「貴様らはウジ虫を卒業する！」
achievement-20000686,重装部隊の経験訓練を累計100時間行う
achievement-30000686,
achievement-10000687,血を流すより汗を流す方がマシ
achievement-20000687,重装部隊の経験訓練を累計200時間行う
achievement-30000687,
achievement-10000688,合理的訓練
achievement-20000688,重装部隊の経験訓練を累計500時間行う
achievement-30000688,
achievement-10000689,不条理な体罰
achievement-20000689,重装部隊の経験訓練を累計1000時間行う
achievement-30000689,
achievement-10000690,楽なのは昨日まで
achievement-20000690,重装部隊の経験訓練を累計2000時間行う
achievement-30000690,
achievement-10000691,勝兵は先ず勝ちてしかる後に戦いを求め
achievement-20000691,重装部隊の経験訓練を累計5000時間行う
achievement-30000691,
achievement-10000692,平和は一時の休憩
achievement-20000692,重装部隊の経験訓練を累計10000時間行う
achievement-30000692,
achievement-10000693,そして強くなっていた
achievement-20000693,重装部隊の経験訓練を累計20000時間行う
achievement-30000693,
achievement-10000694,精密射撃訓練
achievement-20000694,初めて重装部隊のスキル訓練を行う
achievement-30000694,
achievement-10000695,火力制圧訓練
achievement-20000695,重装部隊のスキル訓練を累計10回行う
achievement-30000695,
achievement-10000696,陣地移動訓練
achievement-20000696,重装部隊のスキル訓練を累計20回行う
achievement-30000696,
achievement-10000697,ラピッドファイヤー訓練
achievement-20000697,重装部隊のスキル訓練を累計50回行う
achievement-30000697,
achievement-10000698,偽装隠蔽訓練
achievement-20000698,重装部隊のスキル訓練を累計100回行う
achievement-30000698,
achievement-10000699,目標選択訓練
achievement-20000699,重装部隊のスキル訓練を累計200回行う
achievement-30000699,
achievement-10000700,地図修復訓練
achievement-20000700,重装部隊のスキル訓練を累計500回行う
achievement-30000700,
achievement-10000701,はじめての一声
achievement-20000701,初めて重装部隊をバージョンアップを行う
achievement-30000701,
achievement-10000702,戦地の轟
achievement-20000702,重装部隊のバージョンアップを累計5回行う
achievement-30000702,
achievement-10000703,鐘の音
achievement-20000703,重装部隊のバージョンアップを累計10回行う
achievement-30000703,
achievement-10000704,移動弾幕射撃
achievement-20000704,重装部隊のバージョンアップを累計20回行う
achievement-30000704,
achievement-10000705,クロスファイア
achievement-20000705,重装部隊のバージョンアップを累計50回行う
achievement-30000705,
achievement-10000706,キルゾーン
achievement-20000706,重装部隊のバージョンアップを累計100回行う
achievement-30000706,
achievement-10000707,ミサイルオーケストラ
achievement-20000707,重装部隊のバージョンアップを累計200回行う
achievement-30000707,
achievement-10000708,キャノンワルツ
achievement-20000708,重装部隊のバージョンアップを累計300回行う
achievement-30000708,
achievement-10000709,チップ分解
achievement-20000709,初めてチップ分解を行う
achievement-30000709,
achievement-10000710,キーボードクラッシャー
achievement-20000710,データチップを累計10個分解する
achievement-30000710,
achievement-10000711,グラボディスマントラー
achievement-20000711,データチップを累計100個分解する
achievement-30000711,
achievement-10000712,マザボスレイヤー
achievement-20000712,データチップを累計200個分解する
achievement-30000712,
achievement-10000713,CPUキッカー
achievement-20000713,データチップを累計500個分解する
achievement-30000713,
achievement-10000714,電源アルソニスト
achievement-20000714,データチップを累計1000個分解する
achievement-30000714,
achievement-10000715,ハードディスクウォッシャー
achievement-20000715,データチップを累計2000個分解する
achievement-30000715,
achievement-10000716,メモリークライヤー
achievement-20000716,データチップを累計5000個分解する
achievement-30000716,
achievement-10000717,モニターソウルブレイカー
achievement-20000717,データチップを累計10000個分解する
achievement-30000717,
achievement-10000718,データチップ強化
achievement-20000718,初めてデータチップ強化を行う
achievement-30000718,
achievement-10000719,オーバークロック初心者
achievement-20000719,データチップ強化で累計10個チップを消費する
achievement-30000719,
achievement-10000720,オーバークロック練習者
achievement-20000720,データチップ強化で累計100個チップを消費する
achievement-30000720,
achievement-10000721,オーバークロック修行者
achievement-20000721,データチップ強化で累計200個チップを消費する
achievement-30000721,
achievement-10000722,オーバークロック挑戦者
achievement-20000722,データチップ強化で累計500個チップを消費する
achievement-30000722,
achievement-10000723,オーバークロック名人
achievement-20000723,データチップ強化で累計1000個チップを消費する
achievement-30000723,
achievement-10000724,オーバークロック達人
achievement-20000724,データチップ強化で累計2000個チップを消費する
achievement-30000724,
achievement-10000725,オーバークロック師範
achievement-20000725,データチップ強化で累計5000個チップを消費する
achievement-30000725,
achievement-10000726,オーバークロック皇帝
achievement-20000726,データチップ強化で累計10000個チップを消費する
achievement-30000726,
achievement-10000727,オーバークロック宇宙人
achievement-20000727,データチップ強化で累計20000個チップを消費する
achievement-30000727,
achievement-10000728,建築破壊
achievement-20000728,初めて建造物を破壊する
achievement-30000728,
achievement-10000729,When in doubt、C4!
achievement-20000729,建造物を累計10個破壊する
achievement-30000729,
achievement-10000730,取り壊し事務所
achievement-20000730,建造物を累計100個破壊する
achievement-30000730,
achievement-10000731,取り壊し特科第二小隊
achievement-20000731,建造物を累計200個破壊する
achievement-30000731,
achievement-10000732,N2爆弾
achievement-20000732,建造物を累計500個破壊する
achievement-30000732,
achievement-10000733,ダムクラッシャー
achievement-20000733,建造物を累計1000個破壊する
achievement-30000733,
achievement-10000734,ハリスの夜間パーティ
achievement-20000734,建造物を累計2000個破壊する
achievement-30000734,
achievement-10000735,黄昏よりも暗きもの
achievement-20000735,建造物を累計5000個破壊する
achievement-30000735,
achievement-10000736,石器時代に戻す
achievement-20000736,建造物を累計10000個破壊する
achievement-30000736,
achievement-10000737,-500ポイント
achievement-20000737,秩序乱流-3号防衛拠点:本戦役において、失った人質が存在する
achievement-30000737,
achievement-10000738,ジェロニモ
achievement-20000738,秩序乱流-総攻撃:新勢力のタンクを撃破する
achievement-30000738,
achievement-10000739,銃の神
achievement-20000739,秩序乱流-「支援」:火力支援部隊を使わずに戦役勝利する
achievement-30000739,
achievement-10000740,傀儡師
achievement-20000740,秩序乱流-未来のために:第三勢力の人形を自軍に投降させる
achievement-30000740,
achievement-10000741,血を流さない要塞攻略
achievement-20000741,秩序乱流-96時間:戦闘を行わずに、一度もダメージを受けていない人質を救助する
achievement-30000741,
achievement-10000742,
achievement-20000742,
achievement-30000742,
achievement-10000743,
achievement-20000743,
achievement-30000743,
achievement-10000744,
achievement-20000744,
achievement-30000744,
achievement-10000745,
achievement-20000745,
achievement-30000745,
achievement-10000746,New Comic Repeat！！
achievement-20000746,宿舎のカフェで漫画を10冊解放する
achievement-30000746,
achievement-10000747,ホワイトナイトのマーチ・ヴァルハラ
achievement-20000747,ヴァルハラ-青春期EX：一切戦闘を行わずに勝利する
achievement-30000747,
achievement-10000748,漂う落ち葉
achievement-20000748,探索を累計10時間行う
achievement-30000748,
achievement-10000749,うろつく浮き草
achievement-20000749,探索を累計50時間行う
achievement-30000749,
achievement-10000750,揺らめく小舟
achievement-20000750,探索を累計100時間行う
achievement-30000750,
achievement-10000751,彷徨う小鳥
achievement-20000751,探索を累計500時間行う
achievement-30000751,
achievement-10000752,流離いの浮雲
achievement-20000752,探索を累計1000時間行う
achievement-30000752,
achievement-10000753,流浪の疾風
achievement-20000753,探索を累計2000時間行う
achievement-30000753,
achievement-10000754,茫漠な行者
achievement-20000754,探索を累計5000時間行う
achievement-30000754,
achievement-10000755,永遠の旅人
achievement-20000755,探索を累計10000時間行う
achievement-30000755,
achievement-10000756,我、ここに在らず
achievement-20000756,探索を累計20000時間行う
achievement-30000756,
achievement-10000757,当意即妙
achievement-20000757,探索中にエコーを50個確認する
achievement-30000757,
achievement-10000758,臨機応変
achievement-20000758,探索中にエコーを100個確認する
achievement-30000758,
achievement-10000759,見てから決めよう
achievement-20000759,探索中にエコーを500個確認する
achievement-30000759,
achievement-10000760,驚きは驚くことにあらず
achievement-20000760,探索中にエコーを1000個確認する
achievement-30000760,
achievement-10000761,計画は変化に追いつけない
achievement-20000761,探索中にエコーを5000個確認する
achievement-30000761,
achievement-10000762,意外は常に付き物
achievement-20000762,探索中にエコーを10000個確認する
achievement-30000762,
achievement-10000763,これぞ人生である
achievement-20000763,探索中にエコーを20000個確認する
achievement-30000763,
achievement-10000764,荒野に立つ一つの喜び
achievement-20000764,初めて中途報酬を入手する
achievement-30000764,
achievement-10000765,尋常ならざる二つの報酬
achievement-20000765,中途報酬を累計10個入手する
achievement-30000765,
achievement-10000766,見慣れた三つの雑貨
achievement-20000766,中途報酬を累計50個入手する
achievement-30000766,
achievement-10000767,特に変哲のない四つのアイテム
achievement-20000767,中途報酬を累計100個入手する
achievement-30000767,
achievement-10000768,あまり役に立たない五つの箱
achievement-20000768,累計500個中途報酬を入手する
achievement-30000768,
achievement-10000769,放置されている六つの資材
achievement-20000769,中途報酬を累計1000個入手する
achievement-30000769,
achievement-10000770,まだ七つ装備が欲しい
achievement-20000770,中途報酬を累計2000個入手する
achievement-30000770,
achievement-10000771,疲れ切った八つの部隊
achievement-20000771,中途報酬を累計5000個入手する
achievement-30000771,
achievement-10000772,ロウソク警告
achievement-20000772,初めてエフェクトを入手する
achievement-30000772,
achievement-10000773,電球警告
achievement-20000773,エフェクトを累計10個入手する
achievement-30000773,
achievement-10000774,蛍光灯警告
achievement-20000774,エフェクトを累計20個入手する
achievement-30000774,
achievement-10000775,ネオン管警告
achievement-20000775,エフェクトを累計50個入手する
achievement-30000775,
achievement-10000776,スポットライト警告
achievement-20000776,エフェクトを累計100個入手する
achievement-30000776,
achievement-10000777,溶接工警告
achievement-20000777,エフェクトを累計150個入手する
achievement-30000777,
achievement-10000778,光害警告
achievement-20000778,エフェクトを累計200個入手する
achievement-30000778,
achievement-10000779,光感受性てんかん警告
achievement-20000779,エフェクトを累計300個入手する
achievement-30000779,
achievement-10000780,ハンガーが欲しい
achievement-20000780,指揮官衣装を累計5個入手する
achievement-30000780,
achievement-10000781,棚が欲しい
achievement-20000781,指揮官衣装を累計15個入手する
achievement-30000781,
achievement-10000782,クローゼットが欲しい
achievement-20000782,指揮官衣装を累計30個入手する
achievement-30000782,
achievement-10000783,空き部屋が欲しい
achievement-20000783,指揮官衣装を累計50個入手する
achievement-30000783,
achievement-10000784,屋敷が欲しい
achievement-20000784,指揮官衣装を累計80個入手する
achievement-30000784,
achievement-10000785,空き倉庫が欲しい
achievement-20000785,指揮官衣装を累計120個入手する
achievement-30000785,
achievement-10000786,四次元ポケットが欲しい
achievement-20000786,指揮官衣装を累計150個入手する
achievement-30000786,
achievement-10000787,もはや着れる服などない
achievement-20000787,指揮官衣装を累計180個入手する
achievement-30000787,
achievement-10000788,標準服装規定
achievement-20000788,初めて指揮官衣装セットを揃える
achievement-30000788,
achievement-10000789,服装マナー対策
achievement-20000789,指揮官衣装セットを3個揃える
achievement-30000789,
achievement-10000790,理想コーディネート参考
achievement-20000790,指揮官衣装セットを5個揃える
achievement-30000790,
achievement-10000791,上級オシャレ課程
achievement-20000791,指揮官衣装セットを8個揃える
achievement-30000791,
achievement-10000792,イメージ作り徹底指導
achievement-20000792,指揮官衣装セットを12個揃える
achievement-30000792,
achievement-10000793,ファッション達人の手札
achievement-20000793,指揮官衣装セットを20個揃える
achievement-30000793,
achievement-10000794,美的センス免許皆伝
achievement-20000794,指揮官衣装セットを30個揃える
achievement-30000794,
achievement-10000795,雄黄、辰砂と黄丹
achievement-20000795,初めて指揮官衣装を染色する
achievement-30000795,
achievement-10000796,アイとアカネ
achievement-20000796,指揮官衣装を累計20回染色する
achievement-30000796,
achievement-10000797,貝紫
achievement-20000797,指揮官衣装を累計50回染色する
achievement-30000797,
achievement-10000798,蘇芳
achievement-20000798,指揮官衣装を累計100回染色する
achievement-30000798,
achievement-10000799,マラカイトグリーン
achievement-20000799,指揮官衣装を累計200回染色する
achievement-30000799,
achievement-10000800,サルファブラック
achievement-20000800,指揮官衣装を累計400回染色する
achievement-30000800,
achievement-10000801,全合成インディゴ
achievement-20000801,指揮官衣装を累計800回染色する
achievement-30000801,
achievement-10000802,カヤセロン反応染料
achievement-20000802,指揮官衣装を累計1200回染色する
achievement-30000802,
achievement-10000803,平和主義者
achievement-20000803,
achievement-30000803,
