gift_item-10000001,かぼちゃクマさん
gift_item-30004803,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10004804,硝煙の号令
gift_item-20004804,人形換装開放
gift_item-30004804,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10004805,碧空の巡回者
gift_item-20004805,人形換装開放
gift_item-30004805,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10004901,三途川の女将
gift_item-20004901,人形換装開放
gift_item-30004901,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10004902,闇夜に浮かぶ頭巾薔薇
gift_item-20004902,人形換装開放
gift_item-30004902,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10004903,竹影清兵衛
gift_item-20004903,人形換装開放
gift_item-30004903,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10004904,藤歌仙
gift_item-20004904,人形換装開放
gift_item-30004904,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10004905,蔵六神楽
gift_item-20004905,人形換装開放
gift_item-30004905,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10004906,魂の板前
gift_item-20004906,人形換装開放
gift_item-30004906,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10004907,花鳥風月
gift_item-20004907,人形換装開放
gift_item-30004907,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10004908,猫侍は転ばない
gift_item-20004908,人形換装開放
gift_item-30004908,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10005308,メイド隊怒涛の真夜中
gift_item-20005308,人形換装開放
gift_item-30005308,伝説のバーバ・ヤーガはな。わかるか？三人殺したんだ、鉛筆で。
gift_item-10005401,藍黎の香
gift_item-20005401,人形換装開放
gift_item-30005401,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10005402,百花の訪客
gift_item-20005402,人形換装開放
gift_item-30005402,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10005403,雅ナ茶ハ雪ニモ負ケズ
gift_item-20005403,人形換装開放
gift_item-30005403,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10005404,新しい詩をかくとき
gift_item-20005404,人形換装開放
gift_item-30005404,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10005405,寂びの過客にして
gift_item-20005405,人形換装開放
gift_item-30005405,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10005406,雪原の宅配便
gift_item-20005406,人形換装開放
gift_item-30005406,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10005407,春を告げる信使
gift_item-20005407,人形換装開放
gift_item-30005407,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
gift_item-10005408,紅一番花
gift_item-20005408,人形換装開放
gift_item-30005408,対応する人形にプレゼントすると相応のスキン、ポスター、好感度を獲得します
