achievement-10000001,小小兴趣
achievement-10000602,烙印十字架
achievement-20000602,200个战术少女解锁技能2。
achievement-30000602,
achievement-10000603,完美潜入
achievement-20000603,塌缩点-信使：战役胜利情况下不进行任何一场战斗。
achievement-30000603,
achievement-10000604,最佳配角
achievement-20000604,塌缩点-底线升变Ⅲ：战役胜利情况下利用人质梯队消灭12支敌人梯队。
achievement-30000604,
achievement-10000605,敢死队
achievement-20000605,塌缩点-弱子死局Ⅲ：只部署2支梯队获得S胜。
achievement-30000605,
achievement-10000606,黑暗虚空
achievement-20000606,塌缩点-底线升变Ⅰ：战役胜利时占领所有据点。
achievement-30000606,
achievement-10000607,死于徒手
achievement-20000607,塌缩点-最终手段Ⅰ：战役胜利时场上所有梯队弹药为0。
achievement-30000607,
achievement-10000608,就是这个人
achievement-20000608,完整浏览塌缩点制作人员名单。
achievement-30000608,
achievement-10000609,声色犬马
achievement-20000609,首次下载完整资源包。
achievement-30000609,
achievement-10000610,New Comic！！
achievement-20000610,在宿舍咖啡厅解锁5本漫画。
achievement-30000610,
achievement-10000611,杀人许可证
achievement-20000611,首次获得中枢数据。
achievement-30000611,
achievement-10000612,鬼牌游戏
achievement-20000612,累计获得10个中枢数据。
achievement-30000612,
achievement-10000613,锅匠、裁缝、士兵、间谍
achievement-20000613,累计获得20个中枢数据。
achievement-30000613,
achievement-10000614,剑桥五人帮
achievement-20000614,累计获得50个中枢数据。
achievement-30000614,
achievement-10000615,潘多拉计划
achievement-20000615,累计获得100个中枢数据。
achievement-30000615,
achievement-10000616,混沌法则
achievement-20000616,累计获得200个中枢数据。
achievement-30000616,
achievement-10000617,爱国者之枪
achievement-20000617,累计获得500个中枢数据。
achievement-30000617,
achievement-10000618,食蛇者行动
achievement-20000618,累计获得1000个中枢数据。
achievement-30000618,
achievement-10000619,自由之子
achievement-20000619,累计获得2000个中枢数据。
achievement-30000619,
achievement-10000620,黑途
achievement-20000620,累计获得5000个中枢数据。
achievement-30000620,
achievement-10000621,战争就是火力
achievement-20000621,首次解锁火力单位。
achievement-30000621,
achievement-10000622,战争就是数量
achievement-20000622,累计解锁3个火力单位。
achievement-30000622,
achievement-10000623,战争就是比谁管子粗
achievement-20000623,累计解锁5个火力单位。
achievement-30000623,
achievement-10000624,战争就是钱、钱、钱
achievement-20000624,累计解锁10个火力单位。
achievement-30000624,
achievement-10000625,黑色石碑
achievement-20000625,首次获得芯片。
achievement-30000625,
achievement-10000626,帕斯卡计算器
achievement-20000626,累计获得10个芯片。
achievement-30000626,
achievement-10000627,巴贝奇差分机
achievement-20000627,累计获得100个芯片。
achievement-30000627,
achievement-10000628,亚卡尔织布机
achievement-20000628,累计获得500个芯片。
achievement-30000628,
achievement-10000629,何乐礼打孔机
achievement-20000629,累计获得1000个芯片。
achievement-30000629,
achievement-10000630,诺顿瞄准器
achievement-20000630,累计获得2000个芯片。
achievement-30000630,
achievement-10000631,楚泽导引装置
achievement-20000631,累计获得5000个芯片。
achievement-30000631,
achievement-10000632,费曼的铅笔
achievement-20000632,累计获得10000个芯片。
achievement-30000632,
achievement-10000633,费米的计算尺
achievement-20000633,累计获得20000个芯片。
achievement-30000633,
achievement-10000634,诺伊曼的大脑
achievement-20000634,累计获得30000个芯片。
achievement-30000634,
achievement-10000635,结绳记事
achievement-20000635,首次进行数据重构。
achievement-30000635,
achievement-10000636,罚抄作业
achievement-20000636,累计通过数据重构获得10个数据补丁。
achievement-30000636,
achievement-10000637,代书写手
achievement-20000637,累计通过数据重构获得20个数据补丁。
achievement-30000637,
achievement-10000638,抄书修士
achievement-20000638,累计通过数据重构获得50个数据补丁。
achievement-30000638,
achievement-10000639,传经圣僧
achievement-20000639,累计通过数据重构获得100个数据补丁。
achievement-30000639,
achievement-10000640,纸带打孔
achievement-20000640,累计通过数据重构获得200个数据补丁。
achievement-30000640,
achievement-10000641,磁带录音
achievement-20000641,累计通过数据重构获得500个数据补丁。
achievement-30000641,
achievement-10000642,软盘写入
achievement-20000642,累计通过数据重构获得1000个数据补丁。
achievement-30000642,
achievement-10000643,光盘拷贝
achievement-20000643,累计通过数据重构获得2000个数据补丁。
achievement-30000643,
achievement-10000644,云图备份
achievement-20000644,累计通过数据重构获得5000个数据补丁。
achievement-30000644,
achievement-10000645,普罗米修斯之火
achievement-20000645,首次使用原始样本进行情报解析。
achievement-30000645,
achievement-10000646,阿基米德之池
achievement-20000646,累计使用原始数据样本进行10次情报解析。
achievement-30000646,
achievement-10000647,毕达哥拉斯学派
achievement-20000647,累计使用原始数据样本进行100次情报解析。
achievement-30000647,
achievement-10000648,欧几里德几何
achievement-20000648,累计使用原始数据样本进行200次情报解析。
achievement-30000648,
achievement-10000649,托勒密观天
achievement-20000649,累计使用原始数据样本进行500次情报解析。
achievement-30000649,
achievement-10000650,笛卡尔坐标
achievement-20000650,累计使用原始数据样本进行1000次情报解析。
achievement-30000650,
achievement-10000651,莱布尼兹符号
achievement-20000651,累计使用原始数据样本进行2000次情报解析。
achievement-30000651,
achievement-10000652,牛顿的苹果
achievement-20000652,累计使用原始数据样本进行5000次情报解析。
achievement-30000652,
achievement-10000653,拉格朗日之月
achievement-20000653,累计使用原始数据样本进行10000次情报解析。
achievement-30000653,
achievement-10000654,拉普拉斯的恶魔
achievement-20000654,累计使用原始数据样本进行20000次情报解析。
achievement-30000654,
achievement-10000655,高斯曲线
achievement-20000655,首次使用纯净数据样本进行情报解析。
achievement-30000655,
achievement-10000656,祖冲之密率
achievement-20000656,累计使用纯净数据样本进行10次情报解析。
achievement-30000656,
achievement-10000657,柏拉图最优
achievement-20000657,累计使用纯净数据样本进行50次情报解析。
achievement-30000657,
achievement-10000658,黎曼函数
achievement-20000658,累计使用纯净数据样本进行100次情报解析。
achievement-30000658,
achievement-10000659,开普勒猜想
achievement-20000659,累计使用纯净数据样本进行200次情报解析。
achievement-30000659,
achievement-10000660,布尔代数
achievement-20000660,累计使用纯净数据样本进行500次情报解析。
achievement-30000660,
achievement-10000661,阿贝尔方程式
achievement-20000661,累计使用纯净数据样本进行1000次情报解析。
achievement-30000661,
achievement-10000662,香农信号
achievement-20000662,累计使用纯净数据样本进行2000次情报解析。
achievement-30000662,
achievement-10000663,图灵逻辑
achievement-20000663,累计使用纯净数据样本进行5000次情报解析。
achievement-30000663,
achievement-10000664,纳什均衡
achievement-20000664,累计使用纯净数据样本进行10000次情报解析。
achievement-30000664,
achievement-10000665,星星是友情的魔法
achievement-20000665,首次进行重装部队晋升。
achievement-30000665,
achievement-10000666,星星是美好的祝福
achievement-20000666,累计进行5次重装部队晋升。
achievement-30000666,
achievement-10000667,星星是无尽的冒险
achievement-20000667,累计进行10次重装部队晋升。
achievement-30000667,
achievement-10000668,星星是神秘的世界
achievement-20000668,累计进行20次重装部队晋升。
achievement-30000668,
achievement-10000669,星星是纯爱的诗篇
achievement-20000669,累计进行50次重装部队晋升。
achievement-30000669,
achievement-10000670,星星是进击的人形
achievement-20000670,累计进行100次重装部队晋升。
achievement-30000670,
achievement-10000671,星星是地狱的赞歌
achievement-20000671,累计进行150次重装部队晋升。
achievement-30000671,
achievement-10000672,格里芬之心勋章
achievement-20000672,首次将重装部队升至满星。
achievement-30000672,
achievement-10000673,格里芬荣誉授带
achievement-20000673,累计将3个重装部队升至满星。
achievement-30000673,
achievement-10000674,格里芬十字徽
achievement-20000674,累计将5个重装部队升至满星。
achievement-30000674,
achievement-10000675,格里芬英雄奖
achievement-20000675,累计将10个重装部队升至满星。
achievement-30000675,
achievement-10000676,格里芬名人堂
achievement-20000676,累计将20个重装部队升至满星。
achievement-30000676,
achievement-10000677,格里芬英灵殿
achievement-20000677,累计将30个重装部队升至满星。
achievement-30000677,
achievement-10000678,坦克猎手
achievement-20000678,首次将重装部队升至满级。
achievement-30000678,
achievement-10000679,装甲克星
achievement-20000679,累计将3个重装部队升至满级。
achievement-30000679,
achievement-10000680,铁血清道夫
achievement-20000680,累计将5个重装部队升至满级。
achievement-30000680,
achievement-10000681,战地割草机
achievement-20000681,累计将10个重装部队升至满级。
achievement-30000681,
achievement-10000682,自走式天灾
achievement-20000682,累计将20个重装部队升至满级。
achievement-30000682,
achievement-10000683,大规模毁灭性武器
achievement-20000683,累计将30个重装部队升至满级。
achievement-30000683,
achievement-10000684,练习从不嫌多
achievement-20000684,首次完成重装部队经验训练。
achievement-30000684,
achievement-10000685,好好学习，天天向上
achievement-20000685,累计完成10小时重装部队经验训练。
achievement-30000685,
achievement-10000686,恭喜，你们刚从蛆虫毕业了
achievement-20000686,累计完成100小时重装部队经验训练。
achievement-30000686,
achievement-10000687,流一桶汗好过洒一桶血
achievement-20000687,累计完成200小时重装部队经验训练。
achievement-30000687,
achievement-10000688,合理的要求是训练
achievement-20000688,累计完成500小时重装部队经验训练。
achievement-30000688,
achievement-10000689,不合理的要求是磨练
achievement-20000689,累计完成1000小时重装部队经验训练。
achievement-30000689,
achievement-10000690,轻松的日子只限昨天
achievement-20000690,累计完成2000小时重装部队经验训练。
achievement-30000690,
achievement-10000691,是故胜兵先胜而后求战
achievement-20000691,累计完成5000小时重装部队经验训练。
achievement-30000691,
achievement-10000692,和平只是中场休息
achievement-20000692,累计完成10000小时重装部队经验训练。
achievement-30000692,
achievement-10000693,我变强了
achievement-20000693,累计完成20000小时重装部队经验训练。
achievement-30000693,
achievement-10000694,精密射击训练
achievement-20000694,首次完成重装部队技能训练。
achievement-30000694,
achievement-10000695,压制火力训练
achievement-20000695,累计完成10次重装部队技能训练。
achievement-30000695,
achievement-10000696,阵地转移训练
achievement-20000696,累计完成20次重装部队技能训练。
achievement-30000696,
achievement-10000697,快速开火训练
achievement-20000697,累计完成50次重装部队技能训练。
achievement-30000697,
achievement-10000698,伪装隐蔽训练
achievement-20000698,累计完成100次重装部队技能训练。
achievement-30000698,
achievement-10000699,目标选定训练
achievement-20000699,累计完成200次重装部队技能训练。
achievement-30000699,
achievement-10000700,地图改写训练
achievement-20000700,累计完成500次重装部队技能训练。
achievement-30000700,
achievement-10000701,初试啼声
achievement-20000701,首次进行重装部队迭代。
achievement-30000701,
achievement-10000702,战地轰鸣
achievement-20000702,累计进行5次重装部队迭代。
achievement-30000702,
achievement-10000703,报时钟响
achievement-20000703,累计进行10次重装部队迭代。
achievement-30000703,
achievement-10000704,滚进弹幕
achievement-20000704,累计进行20次重装部队迭代。
achievement-30000704,
achievement-10000705,交叉火网
achievement-20000705,累计进行50次重装部队迭代。
achievement-30000705,
achievement-10000706,杀戮区域
achievement-20000706,累计进行100次重装部队迭代。
achievement-30000706,
achievement-10000707,导弹管弦乐
achievement-20000707,累计进行200次重装部队迭代。
achievement-30000707,
achievement-10000708,炮火华尔兹
achievement-20000708,累计进行300次重装部队迭代。
achievement-30000708,
achievement-10000709,芯片拆解
achievement-20000709,首次进行芯片拆解。
achievement-30000709,
achievement-10000710,怒砸键盘
achievement-20000710,累计拆解10个芯片。
achievement-30000710,
achievement-10000711,愤拆显卡
achievement-20000711,累计拆解100个芯片。
achievement-30000711,
achievement-10000712,手撕主机板
achievement-20000712,累计拆解200个芯片。
achievement-30000712,
achievement-10000713,脚踢处理器
achievement-20000713,累计拆解500个芯片。
achievement-30000713,
achievement-10000714,火烤主电源
achievement-20000714,累计拆解1000个芯片。
achievement-30000714,
achievement-10000715,水洗硬盘
achievement-20000715,累计拆解2000个芯片。
achievement-30000715,
achievement-10000716,泪溅内存
achievement-20000716,累计拆解5000个芯片。
achievement-30000716,
achievement-10000717,魂断显示器
achievement-20000717,累计拆解10000个芯片。
achievement-30000717,
achievement-10000718,芯片强化
achievement-20000718,首次进行芯片强化。
achievement-30000718,
achievement-10000719,超频入门者
achievement-20000719,累计通过强化消耗10个芯片。
achievement-30000719,
achievement-10000720,超频练习者
achievement-20000720,累计通过强化消耗100个芯片。
achievement-30000720,
achievement-10000721,超频修行者
achievement-20000721,累计通过强化消耗200个芯片。
achievement-30000721,
achievement-10000722,超频挑战者
achievement-20000722,累计通过强化消耗500个芯片。
achievement-30000722,
achievement-10000723,超频幻想者
achievement-20000723,累计通过强化消耗1000个芯片。
achievement-30000723,
achievement-10000724,超频悟道者
achievement-20000724,累计通过强化消耗2000个芯片。
achievement-30000724,
achievement-10000725,超频飞升者
achievement-20000725,累计通过强化消耗5000个芯片。
achievement-30000725,
achievement-10000726,超频君临者
achievement-20000726,累计通过强化消耗10000个芯片。
achievement-30000726,
achievement-10000727,超频天外客
achievement-20000727,累计通过强化消耗20000个芯片。
achievement-30000727,
achievement-10000728,摧毁建筑
achievement-20000728,首次摧毁建筑。
achievement-30000728,
achievement-10000729,有问题时找C4
achievement-20000729,累计摧毁10个建筑。
achievement-30000729,
achievement-10000730,拆迁办事处
achievement-20000730,累计摧毁100个建筑。
achievement-30000730,
achievement-10000731,特车二课第二小队
achievement-20000731,累计摧毁200个建筑。
achievement-30000731,
achievement-10000732,N2爆雷
achievement-20000732,累计摧毁500个建筑。
achievement-30000732,
achievement-10000733,水坝破坏者
achievement-20000733,累计摧毁1000个建筑。
achievement-30000733,
achievement-10000734,哈里斯的夜间派对
achievement-20000734,累计摧毁2000个建筑。
achievement-30000734,
achievement-10000735,李梅的火舞
achievement-20000735,累计摧毁5000个建筑。
achievement-30000735,
achievement-10000736,炸回石器时代
achievement-20000736,累计摧毁10000个建筑。
achievement-30000736,
achievement-10000737,-500分
achievement-20000737,有序紊流-3号防御据点：本场战役中有人质死亡。
achievement-30000737,
achievement-10000738,杰罗尼莫
achievement-20000738,有序紊流-总攻击：击杀新势力坦克。
achievement-30000738,
achievement-10000739,枪神
achievement-20000739,有序紊流-“支援”：不使用火力单位获得战役胜利。
achievement-30000739,
achievement-10000740,操偶师
achievement-20000740,有序紊流-为了未来：使第三方人形叛变成为我方。
achievement-30000740,
achievement-10000741,不流血的要塞攻略
achievement-20000741,有序紊流-飓风营救：没有发生战斗的情况下救援满血人质。
achievement-30000741,
achievement-10000742,又是这个人
achievement-20000742,完整浏览异构体制作人员名单。
achievement-30000742,
achievement-10000743,黑暗虚空·异构体
achievement-20000743,异构体-幻影的和平Ⅰ·战斗：战役胜利时占领所有据点。
achievement-30000743,
achievement-10000744,死于徒手·异构体
achievement-20000744,异构体-幻影的和平Ⅲ·战斗：战役胜利时场上所有梯队口粮弹药为0。
achievement-30000744,
achievement-10000745,-500分·异构体
achievement-20000745,异构体-边境之外Ⅱ：本场战役中有人质死亡。
achievement-30000745,
achievement-10000746,New Comic Repeat！！
achievement-20000746,在宿舍咖啡厅解锁10本漫画。
achievement-30000746,
achievement-10000747,白骑士行进·瓦尔哈拉
achievement-20000747,瓦尔哈拉-青春期EX：战斗胜利情况下不进行任何一场战斗。
achievement-30000747,
achievement-10000748,漂泊的落叶
achievement-20000748,累计完成10小时探索
achievement-30000748,
achievement-10000749,徘徊的浮萍
achievement-20000749,累计完成50小时探索
achievement-30000749,
achievement-10000750,摇曳的轻舟
achievement-20000750,累计完成100小时探索
achievement-30000750,
achievement-10000751,彷徨的飞鸟
achievement-20000751,累计完成500小时探索
achievement-30000751,
achievement-10000752,游荡的浮云
achievement-20000752,累计完成1000小时探索
achievement-30000752,
achievement-10000753,流浪的疾风
achievement-20000753,累计完成2000小时探索
achievement-30000753,
achievement-10000754,迷茫的行者
achievement-20000754,累计完成5000小时探索
achievement-30000754,
achievement-10000755,永远的旅人
achievement-20000755,累计完成10000小时探索
achievement-30000755,
achievement-10000756,我，无处不在
achievement-20000756,累计完成20000小时探索
achievement-30000756,
achievement-10000757,灵机一动
achievement-20000757,在探索过程中遇见50个回声事件
achievement-30000757,
achievement-10000758,随机应变
achievement-20000758,在探索过程中遇见100个回声事件
achievement-30000758,
achievement-10000759,见机行事
achievement-20000759,在探索过程中遇见500个回声事件
achievement-30000759,
achievement-10000760,惊吓不是惊喜
achievement-20000760,在探索过程中遇见1000个回声事件
achievement-30000760,
achievement-10000761,计划赶不上变化
achievement-20000761,在探索过程中遇见5000个回声事件
achievement-30000761,
achievement-10000762,处处充满意外
achievement-20000762,在探索过程中遇见10000个回声事件
achievement-30000762,
achievement-10000763,这就是人生
achievement-20000763,在探索过程中遇见20000个回声事件
achievement-30000763,
achievement-10000764,荒野中的一点惊喜
achievement-20000764,首次获取探索中途奖励
achievement-30000764,
achievement-10000765,不寻常的两份奖励
achievement-20000765,累计获取10个探索中途奖励
achievement-30000765,
achievement-10000766,看惯了的三件杂物
achievement-20000766,累计获取50个探索中途奖励
achievement-30000766,
achievement-10000767,一般般的四件道具
achievement-20000767,累计获取100个探索中途奖励
achievement-30000767,
achievement-10000768,没啥用的五个箱子
achievement-20000768,累计获取500个探索中途奖励
achievement-30000768,
achievement-10000769,放置中的六包资材
achievement-20000769,累计获取1000个探索中途奖励
achievement-30000769,
achievement-10000770,还想要的七样装备
achievement-20000770,累计获取2000个探索中途奖励
achievement-30000770,
achievement-10000771,很累了的八个梯队
achievement-20000771,累计获取5000个探索中途奖励
achievement-30000771,
achievement-10000772,烛火警告
achievement-20000772,首次获取特效
achievement-30000772,
achievement-10000773,白炽灯警告
achievement-20000773,累计获取10个特效
achievement-30000773,
achievement-10000774,日光灯警告
achievement-20000774,累计获取20个特效
achievement-30000774,
achievement-10000775,霓虹灯警告
achievement-20000775,累计获取50个特效
achievement-30000775,
achievement-10000776,灯光秀警告
achievement-20000776,累计获取100个特效
achievement-30000776,
achievement-10000777,电焊工警告
achievement-20000777,累计获取150个特效
achievement-30000777,
achievement-10000778,光污染警告
achievement-20000778,累计获取200个特效
achievement-30000778,
achievement-10000779,光癫痫警告
achievement-20000779,累计获取300个特效
achievement-30000779,
achievement-10000780,我需要一个空衣架
achievement-20000780,累计获得5件指挥官服装
achievement-30000780,
achievement-10000781,我需要一个空橱窗
achievement-20000781,累计获得15件指挥官服装
achievement-30000781,
achievement-10000782,我需要一个空衣柜
achievement-20000782,累计获得30件指挥官服装
achievement-30000782,
achievement-10000783,我需要一间空房间
achievement-20000783,累计获得50件指挥官服装
achievement-30000783,
achievement-10000784,我需要一栋空屋子
achievement-20000784,累计获得80件指挥官服装
achievement-30000784,
achievement-10000785,我需要一间空仓库
achievement-20000785,累计获得120件指挥官服装
achievement-30000785,
achievement-10000786,我需要四次元口袋
achievement-20000786,累计获得150件指挥官服装
achievement-30000786,
achievement-10000787,我真的没有衣服穿
achievement-20000787,累计获得180件指挥官服装
achievement-30000787,
achievement-10000788,服仪标准守则
achievement-20000788,首次激活指挥官服装套装
achievement-30000788,
achievement-10000789,穿着基本对策
achievement-20000789,累计激活3套指挥官套装
achievement-30000789,
achievement-10000790,理想搭配参考
achievement-20000790,累计激活5套指挥官套装
achievement-30000790,
achievement-10000791,着衣进阶教程
achievement-20000791,累计激活8套指挥官套装
achievement-30000791,
achievement-10000792,专家形象指南
achievement-20000792,累计激活12套指挥官套装
achievement-30000792,
achievement-10000793,时尚达人手札
achievement-20000793,累计激活20套指挥官套装
achievement-30000793,
achievement-10000794,穿衣品位的自我修养
achievement-20000794,累计激活30套指挥官套装
achievement-30000794,
achievement-10000795,雄黄、朱砂与黄丹
achievement-20000795,首次完成指挥官服装染色
achievement-30000795,
achievement-10000796,蓝草与茜草
achievement-20000796,累计为指挥官服装染色20次
achievement-30000796,
achievement-10000797,泰尔紫
achievement-20000797,累计为指挥官服装染色50次
achievement-30000797,
achievement-10000798,苏枋红
achievement-20000798,累计为指挥官服装染色100次
achievement-30000798,
achievement-10000799,碱性品绿
achievement-20000799,累计为指挥官服装染色200次
achievement-30000799,
achievement-10000800,硫化黑
achievement-20000800,累计为指挥官服装染色400次
achievement-30000800,
achievement-10000801,全合成靛蓝
achievement-20000801,累计为指挥官服装染色800次
achievement-30000801,
achievement-10000802,卡雅赛隆反应染料
achievement-20000802,累计为指挥官服装染色1200次
achievement-30000802,
achievement-10000803,完美潜入
achievement-20000803,裂变链接-认知裂变Ⅱ-战斗EX：战斗胜利情况下不进行任何一场战斗。
achievement-30000803,
achievement-10000804,-500分·偏振光
achievement-20000804,偏振光-全内反射II：本场战役中有人质死亡。
achievement-30000804,
achievement-10000805,草场捉虫
achievement-20000805,累积完成5次融合势力单位常规回收。
achievement-30000805,
achievement-10000806,烛影吞蛾
achievement-20000806,累积完成20次融合势力单位常规回收。
achievement-30000806,
achievement-10000807,潭中捕蛇
achievement-20000807,累积完成50次融合势力单位常规回收。
achievement-30000807,
achievement-10000808,平野猎兔
achievement-20000808,累积完成100次融合势力单位常规回收。
achievement-30000808,
achievement-10000809,牧边收犬
achievement-20000809,累积完成200次融合势力单位常规回收。
achievement-30000809,
achievement-10000810,崖角追鹰
achievement-20000810,累积完成400次融合势力单位常规回收。
achievement-30000810,
achievement-10000811,林幽伏虎
achievement-20000811,累积完成800次融合势力单位常规回收。
achievement-30000811,
achievement-10000812,荒原逐象
achievement-20000812,累积完成1500次融合势力单位常规回收。
achievement-30000812,
achievement-10000813,深海伐鲸
achievement-20000813,累积完成3000次融合势力单位常规回收。
achievement-30000813,
achievement-10000814,沤梦寻蝶
achievement-20000814,累积完成5000次融合势力单位常规回收。
achievement-30000814,
achievement-10000815,苍蝇拍
achievement-20000815,累积完成5次融合势力单位协力回收。
achievement-30000815,
achievement-10000816,蟑螂屋
achievement-20000816,累积完成20次融合势力单位协力回收。
achievement-30000816,
achievement-10000817,捕虫网
achievement-20000817,累积完成50次融合势力单位协力回收。
achievement-30000817,
achievement-10000818,钓鱼钩
achievement-20000818,累积完成100次融合势力单位协力回收。
achievement-30000818,
achievement-10000819,罗雀筐
achievement-20000819,累积完成500次融合势力单位协力回收。
achievement-30000819,
achievement-10000820,熬鹰酒
achievement-20000820,累积完成1000次融合势力单位协力回收。
achievement-30000820,
achievement-10000821,圈羊栅
achievement-20000821,累积完成2000次融合势力单位协力回收。
achievement-30000821,
achievement-10000822,拦马索
achievement-20000822,累积完成4000次融合势力单位协力回收。
achievement-30000822,
achievement-10000823,打虎棍
achievement-20000823,累积完成6000次融合势力单位协力回收。
achievement-30000823,
achievement-10000824,斩龙刀
achievement-20000824,累积完成10000次融合势力单位协力回收。
achievement-30000824,
achievement-10000825,收集菜鸟
achievement-20000825,图鉴解锁不同敌人10个。
achievement-30000825,
achievement-10000826,收集新手
achievement-20000826,图鉴解锁不同敌人20个。
achievement-30000826,
achievement-10000827,收集门徒
achievement-20000827,图鉴解锁不同敌人30个。
achievement-30000827,
achievement-10000828,收集精英
achievement-20000828,图鉴解锁不同敌人40个。
achievement-30000828,
achievement-10000829,收集老手
achievement-20000829,图鉴解锁不同敌人50个。
achievement-30000829,
achievement-10000830,收集大师
achievement-20000830,图鉴解锁不同敌人60个。
achievement-30000830,
achievement-10000831,收集宗师
achievement-20000831,图鉴解锁不同敌人70个。
achievement-30000831,
achievement-10000832,友人帐：工笔
achievement-20000832,图鉴解锁可捕获融合势力单位10个。
achievement-30000832,
achievement-10000833,友人帐：肖形
achievement-20000833,图鉴解锁可捕获融合势力单位20个。
achievement-30000833,
achievement-10000834,友人帐：拙丑
achievement-20000834,图鉴解锁可捕获融合势力单位30个。
achievement-30000834,
achievement-10000835,友人帐：通意
achievement-20000835,图鉴解锁可捕获融合势力单位40个。
achievement-30000835,
achievement-10000836,友人帐：画龙
achievement-20000836,图鉴解锁可捕获融合势力单位50个。
achievement-30000836,
achievement-10000837,友人帐：留白
achievement-20000837,图鉴解锁可捕获融合势力单位60个。
achievement-30000837,
achievement-10000838,友人帐：点睛
achievement-20000838,图鉴解锁可捕获融合势力单位70个。
achievement-30000838,
achievement-10000839,哥雷姆炼成师：初次
achievement-20000839,首次获得XL融合势力单位。
achievement-30000839,
achievement-10000840,哥雷姆炼成师：初窥
achievement-20000840,获得XL融合势力单位10个。
achievement-30000840,
achievement-10000841,哥雷姆炼成师：入门
achievement-20000841,获得XL融合势力单位20个。
achievement-30000841,
achievement-10000842,哥雷姆炼成师：娴熟
achievement-20000842,获得XL融合势力单位30个。
achievement-30000842,
achievement-10000843,哥雷姆炼成师：老练
achievement-20000843,获得XL融合势力单位40个。
achievement-30000843,
achievement-10000844,哥雷姆炼成师：自如
achievement-20000844,获得XL融合势力单位50个。
achievement-30000844,
achievement-10000845,哥雷姆炼成师：精英
achievement-20000845,获得XL融合势力单位60个。
achievement-30000845,
achievement-10000846,哥雷姆炼成师：大师
achievement-20000846,获得XL融合势力单位80个。
achievement-30000846,
achievement-10000847,哥雷姆炼成师：宗师
achievement-20000847,获得XL融合势力单位100个。
achievement-30000847,
achievement-10000848,哥雷姆炼成师：传说
achievement-20000848,获得XL融合势力单位120个。
achievement-30000848,
achievement-10000849,地灵守门人
achievement-20000849,首次获取最小体型融合势力单位。
achievement-30000849,
achievement-10000850,地灵引路者
achievement-20000850,获得XS融合势力单位10个。
achievement-30000850,
achievement-10000851,地灵小队长
achievement-20000851,获得XS融合势力单位20个。
achievement-30000851,
achievement-10000852,地灵中队长
achievement-20000852,获得XS融合势力单位30个。
achievement-30000852,
achievement-10000853,地灵大队长
achievement-20000853,获得XS融合势力单位40个。
achievement-30000853,
achievement-10000854,地灵将领
achievement-20000854,获得XS融合势力单位50个。
achievement-30000854,
achievement-10000855,地灵统帅
achievement-20000855,获得XS融合势力单位60个。
achievement-30000855,
achievement-10000856,地灵领主
achievement-20000856,获得XS融合势力单位80个。
achievement-30000856,
achievement-10000857,地灵执政官
achievement-20000857,获得XS融合势力单位100个。
achievement-30000857,
achievement-10000858,地灵之王
achievement-20000858,获得XS融合势力单位120个。
achievement-30000858,
achievement-10000859,某科学的超级人形
achievement-20000859,首次将融合势力单位升至满级。
achievement-30000859,
achievement-10000860,枪弹之梦
achievement-20000860,累计将10个融合势力单位升至满级。
achievement-30000860,
achievement-10000861,格里芬再造人
achievement-20000861,累计将20个融合势力单位升至满级。
achievement-30000861,
achievement-10000862,正确的研究者
achievement-20000862,累计将30个融合势力单位升至满级。
achievement-30000862,
achievement-10000863,极黑的四十人偶
achievement-20000863,累计将40个融合势力单位升至满级。
achievement-30000863,
achievement-10000864,没有心跳的天使
achievement-20000864,累计将50个融合势力单位升至满级。
achievement-30000864,
achievement-10000865,爱，死亡和机器人
achievement-20000865,累计将60个融合势力单位升至满级。
achievement-30000865,
achievement-10000866,黑色镜像
achievement-20000866,累计将80个融合势力单位升至满级。
achievement-30000866,
achievement-10000867,义体百分百
achievement-20000867,累计将100个融合势力单位升至满级。
achievement-30000867,
achievement-10000868,和平之翼
achievement-20000868,累计将120个融合势力单位升至满级。
achievement-30000868,
achievement-10000869,数据交流
achievement-20000869,首次将融合势力单位升至满星。
achievement-30000869,
achievement-10000870,青之十号
achievement-20000870,累计将10个融合势力单位升至满星。
achievement-30000870,
achievement-10000871,世界与明日
achievement-20000871,累计将20个融合势力单位升至满星。
achievement-30000871,
achievement-10000872,蓝宝石之谜
achievement-20000872,累计将30个融合势力单位升至满星。
achievement-30000872,
achievement-10000873,人偶使徒
achievement-20000873,累计将40个融合势力单位升至满星。
achievement-30000873,
achievement-10000874,亚人之手
achievement-20000874,累计将50个融合势力单位升至满星。
achievement-30000874,
achievement-10000875,发条橙子
achievement-20000875,累计将60个融合势力单位升至满星。
achievement-30000875,
achievement-10000876,杀戮器官
achievement-20000876,累计将80个融合势力单位升至满星。
achievement-30000876,
achievement-10000877,明日冲刺
achievement-20000877,累计将100个融合势力单位升至满星。
achievement-30000877,
achievement-10000878,极限超越者
achievement-20000878,累计将120个融合势力单位升至满星。
achievement-30000878,
achievement-10000879,自新世界
achievement-20000879,首次完成融合势力单位峰值解析。
achievement-30000879,
achievement-10000880,神的记事本
achievement-20000880,累计完成融合势力单位峰值解析5次。
achievement-30000880,
achievement-10000881,时空传输
achievement-20000881,累计完成融合势力单位峰值解析10次。
achievement-30000881,
achievement-10000882,新时代光子郎
achievement-20000882,累计完成融合势力单位峰值解析30次。
achievement-30000882,
