item-10000001,人形制造契约
item-20001702,真核面具纪念头像·双联乱数
item-10001703,头像：建构之理
item-20001703,头像：建构之理
item-10001704,头像：偏移天平
item-20001704,头像：偏移天平
item-10001705,名片：暴乱狼烟
item-20001705,名片：暴乱狼烟
item-10001706,背景：芙洛拉花径
item-20001706,背景：芙洛拉花径
item-10001707,G11心智升级头像
item-20001707,G11心智升级头像
item-10001708,Super SASS心智升级头像
item-20001708,Super SASS心智升级头像
item-10001709,RO635心智升级头像
item-20001709,RO635心智升级头像
item-10001710,97式霰心智升级头像
item-20001710,97式霰心智升级头像
item-10008001,情报点
item-20008001,冬活情报点
item-10008002,情报点
item-20008002,酒保联动情报点
item-10008003,机密文件
item-20008003,裂变链接-机密文件
item-10009001,物资箱
item-20009001,冬活物资箱
item-10009003,物资箱
item-20009003,裂变链接物资箱
item-10009004,物资箱
item-20009004,偏振光物资箱
item-10009005,物资箱
item-20009005,双联乱数物资箱
item-10100001,红包
item-20100001,开红包得奖励
item-10100002,福袋
item-20100002,开福袋获得皮肤
item-10100003,魔素
item-20100003,魔素
item-10100004,物资箱
item-20100004,开物资箱得奖励
item-10100005,超钻石喵王
item-20100005,超钻石喵王
item-10100006,姜饼娃娃
item-20100006,姜饼娃娃
item-10100007,物资箱
item-20100007,冬活物资箱
item-10100008,复活节彩蛋
item-20100008,复活节彩蛋
item-10100009,致敬的冠冕
item-20100009,致敬的冠冕
item-10100010,真核面具
item-20100010,真核面具
item-10100011,2周年装扮券
item-20100011,2周年装扮券
item-10100012,合金粽头
item-20100012,合金粽头
item-10100013,狐狸面具
item-20100013,狐狸面具
item-10100014,物资箱
item-20100014,夏活物资箱
item-10100015,捣蛋灯笼
item-20100015,捣蛋灯笼
item-10100016,魔素
item-20100016,魔素
item-10100017,糖果魔杖
item-20100017,糖果魔杖
item-10100018,真核面具·异构体
item-20100018,真核面具·异构体
item-10100019,酒心巧克狗
item-20100019,酒心巧克狗
item-10100020,真核面具·三周年
item-20100020,真核面具·三周年
item-10100021,物资箱
item-20100021,三周年特别物资箱
item-10100022,3周年装扮券
item-20100022,3周年装扮券
item-10100023,白骑士铠甲碎片
item-20100023,白骑士铠甲碎片
item-10100024,硬核西瓜
item-20100024,硬核西瓜
item-10100025,真核面具·裂变链接
item-20100025,真核面具·裂变链接
item-10100026,解梦黑匣
item-20100026,解梦黑匣
item-10100027,怪奇皂片
item-20100027,怪奇皂片
item-10100028,致敬的冠冕
item-20100028,致敬的冠冕
item-10100029,松柏星坠
item-20100029,松柏星坠
item-10100030,新星勋章
item-20100030,新星勋章
item-10100031,白金勋章
item-20100031,白金勋章
item-10100032,真核面具·偏振光
item-20100032,真核面具·偏振光
item-10100033,新星勋章·照相馆谜题
item-20100033,新星勋章·照相馆谜题
item-10100034,白金勋章·照相馆谜题
item-20100034,白金勋章·照相馆谜题
item-10100035,桔子硬币
item-20100035,桔子硬币
item-10100036,真核面具·美服二周年
item-20100036,真核面具·美服二周年
item-10100037,物资箱
item-20100037,美服两周年特别物资箱
item-10100038,新星勋章
item-20100038,新星勋章
item-10100039,白金勋章
item-20100039,白金勋章
item-10100040,真核面具·四周年
item-20100040,真核面具·四周年
item-10100041,1周年装扮券
item-20100041,1周年装扮券
item-10100042,2周年装扮券
item-20100042,2周年装扮券
item-10100043,3周年装扮券
item-20100043,3周年装扮券
item-10100044,4周年装扮券
item-20100044,4周年装扮券
item-10100045,四周年特别物资箱
item-20100045,四周年特别物资箱
item-10100046,美服1周年装扮券
item-20100046,美服1周年装扮券
item-10100047,新星勋章·碧海秘闻
item-20100047,新星勋章·碧海秘闻
item-10100048,白金勋章·碧海秘闻
item-20100048,白金勋章·碧海秘闻
item-10100049,碧海号角
item-20100049,碧海号角
item-10100050,新星勋章·梦间剧
item-20100050,新星勋章·梦间剧
item-10100051,白金勋章·梦间剧
item-20100051,白金勋章·梦间剧
item-10100052,奥古斯都
item-20100052,奥古斯都
item-10100053,真核面具·日服二周年
item-20100053,真核面具·日服二周年
item-10100054,日服1周年装扮券
item-20100054,日服1周年装扮券
item-10100055,日服2周年装扮券
item-20100055,日服2周年装扮券
item-10100056,日服2周年特别物资箱
item-20100056,日服2周年特别物资箱
item-10100057,真核面具·双联乱数
item-20100057,真核面具·双联乱数
item-10100058,新星勋章·双联乱数
item-20100058,新星勋章·双联乱数
item-10100059,白金勋章·双联乱数
item-20100059,白金勋章·双联乱数
item-10110001,嘉年华活跃点数
item-20110001,嘉年华活跃点数
item-10110002,嘉年华活跃点数2
item-20110002,嘉年华活跃点数2
item-10110003,嘉年华活跃点数3
item-20110003,嘉年华活跃点数3
item-10110004,先锋测试服活跃点数
item-20110004,活跃点数
item-10110005,活动积分
item-20110005,第一期正式嘉年华活跃点数
item-10110006,活动积分
item-20110006,纯白花嫁活跃点数
item-10110007,活动积分
item-20110007,愚人节活跃点数
item-10110008,活动积分
item-20110008,活跃点数
item-10110009,活动积分
item-20110009,活跃点数
item-10110010,活动积分
item-20110010,活跃点数
item-10110011,活动点数
item-20110011,活跃点数
item-10110012,活动点数
item-20110012,活跃点数
item-10110013,活动点数
item-20110013,活跃点数
item-10110014,活动点数
item-20110014,活跃点数
item-10110015,活动点数
item-20110015,活跃点数
item-10110016,活动点数
item-20110016,活跃点数
item-10110017,活动点数
item-20110017,活跃点数
item-10110018,活动点数
item-20110018,活跃点数
item-10110019,活动点数
item-20110019,活跃点数
item-10110020,活动点数
item-20110020,活跃点数
item-10110021,活动点数
item-20110021,活跃点数
item-10110022,活动点数
item-20110022,活跃点数
item-10110023,活动点数
item-20110023,活跃点数
item-10110024,活动点数
item-20110024,活跃点数
item-10110025,活动点数
item-20110025,活跃点数
item-10110026,活动点数
item-20110026,活跃点数
item-10110027,活动点数
item-20110027,活动点数
item-10110028,活动点数
item-20110028,活动点数
item-10110029,活动点数
item-20110029,活动点数
item-10110030,活动点数
item-20110030,活动点数
item-10110031,活动点数
item-20110031,活动点数
item-10110032,活动点数
item-20110032,活动点数
item-10110033,活动点数
item-20110033,活动点数
item-10110034,活动点数
item-20110034,活动点数
item-10110035,活动点数
item-20110035,活动点数
item-10900030,新星勋章
item-20900030,新星勋章（日服djmax用）
item-10900031,白金勋章
item-20900031,白金勋章（日服djmax用）
item-10007001,糖果口袋
item-20007001,配备隐藏携行包最初的目的是让大家能在任务中多带点消耗性装备，然而多数人却拿它来放置自己喜欢的零食。
item-10007002,多余零件
item-20007002,指挥官让大家在身上多带一点备用零件以备不时之需，然而这样做却会增加负重，于是有些人形们私下里找到了解决问题的办法。
item-10007003,操心人士
item-20007003,知道的东西多了，操心的东西也就跟着多了。然而焦虑是没有用的，我们能做的就是把一切能做的事情做好。
item-10007004,恋爱脑
item-20007004,蛋糕、巧克力、情书……今天收到了哪一项？还是全部都收到了？要是真的收到了，那可不能让其他人轻易察觉啊！
item-10007005,过度思考
item-20007005,太多事情缠心会让注意力变得不集中，让自己先转移注意力是个良好的对策。对此赫丽安的建议是多出任务，格琳娜的建议是尽可能多去她那里买东西。
item-10007006,口水泡
item-20007006,谁会带着口水泡的装饰和别的人形交流了？也许那些家里蹲会吧，借此吓退所有妄图将自己拉进社交圈的人。
item-10007007,公主病
item-20007007,不知何时兴起的疾病，如果患病者能看到自己的头上会冒这样的泡泡，不知道她们还会不会做出那些诡异的操作。
item-10007008,金矿梦
item-20007008,金矿梦居然不是金矿形状的？当然了，毕竟天降金矿都只是一个美梦而已。
item-10007009,忧郁紫调
item-20007009,不知道为什么，顺着这忧郁的曲调，我又在紫色的朦胧中找到了失散在时间里的过去……
item-10007010,黄金摇篮曲
item-20007010,哼着这首歌谣进入梦乡，不管是面对多么凶险的梦境，你都将成为无人匹敌的黄金斗士。
item-10007011,绿之圣乐
item-20007011,每次捕捉到这熟悉的绿色音符时，我都忍不住猜想，能吹奏这样高洁音乐的人一定很爱吃樱桃吧。
item-10007012,樱色轻风
item-20007012,春日绽放的花朵，新买的衣服，柔软的草地……尽管这些在如今都只能出现在梦里，舒缓的心情也还是能够带入现实。
item-10007013,风暴云
item-20007013,要忍让，要换位思考，要学会体谅他人……可是这一刻什么也不想考虑，只想痛快地发泄。
item-10007014,暴雨将至
item-20007014,就算明知道是自己的错，被指责时也仍然会感到委屈。能够忍耐负面情绪并改正错误是成年人的必修课，但是……呜……要忍不住了……
item-10007101,指挥官服装-泳装特效
item-20007101,指挥官服装-泳装特效
item-10007102,指挥官服装-夏活套特效
item-20007102,指挥官服装-夏活套特效
item-10007103,指挥官服装-2019浴衣套特效
item-20007103,指挥官服装-2019浴衣套特效
item-10007104,指挥官服装-2019不良套特效
item-20007104,指挥官服装-2019不良套特效
item-10007105,指挥官服装-2019圣诞套特效
item-20007105,指挥官服装-2019圣诞套特效
item-10007106,指挥官服装-2020春节套特效
item-20007106,指挥官服装-2020春节套特效
item-10007107,指挥官服装-2020睡衣套特效
item-20007107,指挥官服装-2020睡衣套特效
item-10007201,无常卡牌
item-20007201,无常命运之下，谁也料不到下一张牌能否扭转乾坤。//n“抽不到好牌，我就自己印一张。”
item-10006001,普通肉包
item-20006001,能够普通地用以充饥，对行动力有微薄的提升——有总比没有好吧。
item-10006002,一屉肉包
item-20006002,店铺售卖的整笼包子，作为简单的一餐已经足够，能够行动的速率小幅提升。
item-10006003,镇魂肉包
item-20006003,用豪华的紫檀雕龙食盒盛放的多个肉包，分量十足，一口气吃完后能够中幅提升探索速度。
item-10006004,平民标配
item-20006004,单独购买的汉堡与薯条，有极小的概率能够中再来一份奖，但真正的欧皇才不会在意这些。
item-10006005,单人无忧桶
item-20006005,完美解决独自吃饭所需的各种元素，餐点种类变多，中奖概率也中幅提高，一举两得。
item-10006006,双人乐享全餐
item-20006006,双倍的热量，双倍的快乐，但有三倍的中奖概率，有朋友可以分享总是一件好事。
item-10006007,草莓芝士片
item-20006007,一小块草莓芝士蛋糕，对于解馋而言是不二之选，同时对于代币的获得数量也有微小的提升。
item-10006008,一周蛋糕精选
item-20006008,独立包装的外送蛋糕，满足一周的甜食充能需求，携带即可小幅提高代币获取数量——请收件人注意不要吃掉防腐剂。
item-10006009,甜蜜爆弹箱
item-20006009,为嗜甜饕客准备的五块装蛋糕组，一次性吃完的话会热量爆炸，同时也会中幅增加代币获得数量，简直如同回本一样划算。
item-10006010,"Baby//cB-A-B-Y."
item-20006010,即使在都市中扮演着极盗车手，仍然要负责下楼买四杯咖啡，不过都市总是有这样的吸引力，不是吗？
item-10006011,街边关东煮
item-20006011,就像每个屠龙的战士出发之前一定要吃一顿丰盛的肉一样，这盒关东煮正是为了前往冰原而准备的——当然，吃完没有感到特别热的话，也有概率不需要前去降温。
item-10006012,野生蜂巢组合
item-20006012,有了可以嚼着吃的蜂巢谁还喝蜂蜜呢？也许熊会，天然蜂巢还会让熊回忆起关于森林的一切，并不由自主地迈起踏入森林的步伐。
item-10006013,寒冰剧场
item-20006013,除了被放进威士忌杯里，冰块的宿命就是融化，这碗冰淇淋球会希望被你带上前往沙漠，爱它，就让它融化。
item-10004001,城市的馈赠
item-20004001,很久前生产的一种积木玩具，因为其极高的生产精度现在已经很难仿制，在很多战乱地区被用作货币，可以换到很多有用的东西。
item-10004002,雪地的馈赠
item-20004002,冰雪封锁的冻土下，经常能捡到过去几次大战遗留的武器，这种历经战火布满疤痕的实木护木，在安全区里非常受从来没上过战场的爱好者欢迎。
item-10004003,森林的馈赠
item-20004003,现在已经很罕见的橡树的果实，近期因为变成新的文玩品类而价格飙升，在安全区经常能看到大哥们一边盘着橡子手串一边攀比吹牛。
item-10004004,荒野的馈赠
item-20004004,污染区采集到的坍塌液样本，除了散发幽幽绿光和让人变成丧尸外，好像没什么特别的用途，不过有一些可疑的宗教团体在高价收购。
item-10000601,无限惊喜染色剂
item-20000601,没有人能知道自己想像中的款式是不是真的合适，让随机性带来惊喜吧。
item-10000602,色彩指定染色剂
item-20000602,别再为十连也抽不出自己想要的款式沮丧了，自己想要的花纹就该掌握在自己手里！
item-10000603,模拟作战基础势能
item-20000603,消耗基础势能可以参与融合演习，获得融合势力提升所需材料。
item-10010603,模拟作战超导势能
item-20010603,在基础势能消耗完毕之后，可以继续消耗超导势能来进行融合演习。通过商城获得，“有限的购买加无限的消费，这就是市场~”
item-10000604,电子脉冲
item-20000604,电子脉冲
item-10010604,超导脉冲
item-20010604,在电子脉冲消耗完毕之后，可以使用由周常、签到等方式获得的超导脉冲继续进行常规回收。
item-10000605,协力委托书
item-20000605,委托第三方机构协助收归混合势力的凭证。格琳娜声称获取该凭证的委托金数额庞大，请指挥官谨慎使用。
item-10000512,超星内核
item-20000512,从初始2、3星融合势力单位身上落下的闪亮的星辰，可用于在内核商店兑换道具。
item-10000513,暗星内核
item-20000513,从初始1星融合势力单位身上落下的黯淡的星辰，可用于在内核商店兑换道具。
item-10000606,转移触媒
item-20000606,使用之后，能够将两个融合势力单位的培养度互换，“一夜醒来，我又再次一无所有”。
item-10000514,开发培养皿
item-20000514,以太开发消耗的材料，可以通过开发调节操练获得。
item-10000515,初级训练密钥
item-20000515,这项程序可为融合势力单位提供初级技能训练，通过解密算法练习获得。
item-10000516,高级训练密钥
item-20000516,这项程序可为融合势力单位提供高级技能训练，通过解密算法练习获得。
item-10000517,指定装备契约
item-20000517,委托制造指定类型装备的契约，每一份契约可用于制造一个指定类型的装备。
item-10000518,mission_skill掉落/消耗代币
item-20000518,mission_skill掉落/消耗代币-测试条目
item-11100001,***
item-21100001,***
item-11100002,***
item-21100002,***
item-11100003,***
item-21100003,***
item-11100004,***
item-21100004,***
item-10120001,友人谈
item-20120001,P38与沙漠之鹰
item-10120002,友人谈
item-20120002,P38与HK45
item-10120003,友人谈
item-20120003,P38与Spectre M4
item-10120004,友人谈
item-20120004,HK45与Spectre M4
item-10120005,友人谈
item-20120005,HK45与沙漠之鹰
item-10120006,友人谈
item-20120006,斯捷奇金与沙漠之鹰
