furniture-10030001,Pumpkin Mishka
furniture-10004403,Christmas Cottage - Winter Cellar
furniture-20004403,Never let SPAS-12 overhear that we still have enough food. Don't you know that a shark ate everything in the warehouse last year? Yes//c legends should only be half-believed//c as she had only eaten half of the food in the warehouse...
furniture-10004404,Christmas Cottage - Tribal-Style Fireplace
furniture-20004404,In front of the fireplace is a long story and attentive children. It would be much easier on Mother Earth if human beings only passed down culture verbally.
furniture-10004405,Christmas Cottage - "Winter Training" Sandbox
furniture-20004405,Work makes holidays seem all the more precious and brilliant to us//c just like how laymen praise suffering and the living eulogize death.
furniture-10004406,Christmas Cottage - "Winter Celebration" Giftboxes
furniture-20004406,One of the greatest pleasures of being a commander is admiring the empty expressions of T-Dolls after they excitedly open their empty giftboxes... Do apply for medical leave beforehand.
furniture-10004407,Christmas Cottage - Winter Food Table
furniture-20004407,Watch your diet? If you're not able to fully enjoy the pleasures of the hour//c how will you even have the foresight to attain happiness in the future?
furniture-10004408,Christmas Cottage - Tribal-Style Sofa
furniture-20004408,Using traditional crafts as an example//c many things are only missed after being forgotten//c because only when it is forgotten does it seem rare and valuable.
furniture-10004409,Christmas Cottage - Lazy Cushion
furniture-20004409,You won't be able to get up once you're in its grasp. "Laziness" is the fifth force that surpasses gravity!
furniture-10004410,Christmas Cottage - Tribal-Style Wallpaper
furniture-20004410,Good things often get killed in the past//c and the remains of such practices continue on even today. Even now//c people flock towards it and declare it to be immortal.
furniture-10004411,Christmas Cottage - Tribal-Style Sculpture
furniture-20004411,Humanity's ancestors liked to imitate whatever they saw with their own eyes//c whereas humans in the future may prefer to draw imaginary things instead.
furniture-10004412,Christmas Cottage - "Winter Wishes" Window
furniture-20004412,Even if your wish cannot be fulfilled//c at the very least tell yourself that there is hope in living. When all is lost in despair//c try and recall this day when you wished for happiness.
furniture-10004501,Pirate's Legacy - Wet Deck
furniture-20004501,It's forbidden to fight//c litter//c and roller skate on the deck. Rescuing overboard T-Dolls is very strenuous!
furniture-10004502,Pirate's Legacy - Window of Wind and Sunlight
furniture-20004502,If you think about it//c the ocean is only a slightly bigger fish tank. It's just that the place you're trapped in is a bit cramped.
furniture-10004503,Pirate's Legacy - Lying on the Treasure
furniture-20004503,This is treasure that you can only obtain by betraying your own heart. Can you really sleep soundly on it? ...Of course it's more comfortable if you're heartless!
furniture-10004504,Pirate's Legacy - Incomplete Sea Chart
furniture-20004504,Humans don't want to be restricted by boundaries//c yet they seek out the boundaries all the time. What lies beyond their hope must be disappointment//c yet everyone flocks to it anyway.
furniture-10004505,Pirate's Legacy - Firepower of Justice
furniture-20004505,The justice of the ocean is to survive. We can talk about everything else after we get back on land.
furniture-10004506,Pirate's Legacy - Problem-Solving Stockpile
furniture-20004506,The answer to all questions can be found here//c where friends and foe mingle together.
furniture-10004507,Pirate's Legacy - Oceanic Fast Food Restaurant
furniture-20004507,If anyone suddenly says that the food is delicious//c please watch out for any strange behavior or actions.
furniture-10004508,Pirate's Legacy - Cage of Mutiny
furniture-20004508,Reflect well on your past actions... Stop swinging around and doing the circle dance inside!
furniture-10004509,Pirate's Legacy - Table of Fate
furniture-20004509,Feel free to pledge all your worldly possessions on the table//c because no one can ensure that you won't spend it all tomorrow. Fate is such a fickle thing.
furniture-10004510,Pirate's Legacy - Deep Sea Lurker
furniture-20004510,Don't listen to what it's saying and please release it back into the ocean. I repeat//c don't listen to what it's saying//c and it's not tasty either. Please release it back into the ocean.
furniture-10004511,Pirate's Legacy - Chatty Stool - Left
furniture-20004511,No one cares about your story; everyone's just bored. If we don't bullshit with each other//c then we can only resort to hurting each other.
furniture-10004512,Pirate's Legacy - Chatty Stool - Right
furniture-20004512,No one cares about your story; everyone's just bored. If we don't bullshit with each other//c then we can only resort to hurting each other.
furniture-10004513,Pirate's Legacy - Haven Within the Ocean
furniture-20004513,Just think about it. If you're really looking for a haven on the sea//c why don't you just go home?
furniture-10004514,Pirate's Legacy - Swaying Homeland
furniture-20004514,This is your heart//c swaying uncertainly between the hopes of the future and the abandoned happiness of the past.
furniture-10004515,Pirate's Legacy - Overlooking Drapery
furniture-20004515,Sunshine//c land//c and wandering seabirds. Those things that have nothing to do with us always tend to look so much better.
furniture-10004601,Pixel Forest - Grassy Lawn for Adventuring
furniture-20004601,Spread it out on the ground//c then you can tie on a bandana with a round gemstone//c wear triangular shoulder pads//c and embark on a wonderful journey with a gentle symphony in your ear.
furniture-10004602,Pixel Forest - Mysterious Fragile Brick
furniture-20004602,Have you ever considered that a brick could be more valuable than a copper coin?
furniture-10004603,Pixel Forest - Living Hammock
furniture-20004603,This hammock will secretly grow while you're asleep//c till it's able to eat you//c then...it'll start to think about life.
furniture-10004604,Pixel Forest - Alloy Cooking Pot
furniture-20004604,Make it hotter! Maybe then you can drive it!
furniture-10004605,Pixel Forest - Old Tank
furniture-20004605,It'll make your battles easier and more spectacular. In the past//c you needed to win it through skills rather than with money.
furniture-10004606,Pixel Forest - Pensive Tree Stump
furniture-20004606,Tree stumps can't think about anything//c but you who sits upon it can. This is very fair; you're enjoying its hospitality while it's laughing at you.
furniture-10004607,Pixel Forest - Brawny Sign
furniture-20004607,Have you ever thought about the feasibility of these oddly-shaped bullets in real life? No? Well//c you can try it now.
furniture-10004608,Pixel Forest - Swaying Tent
furniture-20004608,Rest for a little while longer and immerse yourself just a little more. In the past//c people fantasized in order to accept reality//c whereas people now fantasize in order to escape it//c or change it.
furniture-10004609,Pixel Forest - Passerby Bear
furniture-20004609,this bear won't hurt people in this world//c but you can hurt it... Why don't we do so then? After all//c we're the noble humans who can do whatever we want through our free will!
furniture-10004610,Pixel Forest - Forest of the Brave
furniture-20004610,Explore this expansive forest until you've eaten all the mushrooms//c but the game still doesn't end.
furniture-10004611,Pixel Forest - Floating Treehouse
furniture-20004611,Building such a treehouse not only requires gathering lots of materials//c you also need to determine whether your map ceiling is high enough.
furniture-10004612,Pixel Forest - Unwakeable Wine Bottle
furniture-20004612,Pick up the wine bottle and turn your life upside down. Life itself is a boring thing as there's nothing really worth enjoying besides stories.
furniture-10003104,TapTap!
furniture-20003104,TapTap exclusive commemorative furniture.
furniture-10002004,Poster - Operation Cube 2018
furniture-20002004,2018 1st Major Event - Special poster for Operation Cube
furniture-10002005,Poster - Arctic Warfare 2019
furniture-20002005,2019 2nd Major Event - Special poster for Arctic Warfare
furniture-10002006,Poster - Deep Dive 2019
furniture-20002006,2019 3rd Major Event - Special poster for Deep Dive
furniture-10004701,Biker's Diary - Cement Floor
furniture-20004701,Just like a professional garage//c a floor resistant to dirt and wear is always the best friend of wheels. Feel free to trample upon it if you come across it.
furniture-10004702,Biker's Diary - Weapons Cabinet
furniture-20004702,Wielding a gun on a speeding vehicle is a T-Doll's dream! Purchase this attachment now and get free lessons on fancy single-handed reloading!
furniture-10004703,Biker's Diary - Front Desk Tool Cabinet
furniture-20004703,All the most-wanted necessities for maintenance can be found here//c including engine oil//c anti-freeze//c and of course everyone's favorite friend//c WD40!
furniture-10004704,Biker's Diary - Merchandise Cabinet
furniture-20004704,Models//c souvenirs//c armbands//c or bullets//c all of these things can awaken one's hidden desire to become a biker...especially once you realize that you can't afford any of those bikes.
furniture-10004705,Biker's Diary - Parts Showcase
furniture-20004705,Customized and modified parts tend to give the user an impression of free choice. In truth//c everything has already been determined//c just like life itself.
furniture-10004706,Biker's Diary - Handle Rack
furniture-20004706,Compared to the actual handle itself//c maybe it's more important that the handle is firmly attached to the bike...especially considering the amount of g force the Commander will endure when riding with a T-Doll.
furniture-10004707,Biker's Diary - Tactical Bike
furniture-20004707,Able to carry a large amount of military tools and even runs on petrol. You can ride it to faraway places//c camps//c picnics//c or to stargaze... Besides escaping doomsday//c you can use it to travel to any place.
furniture-10004708,Biker's Diary - Bike Display Rack
furniture-20004708,Specially placed at a prominent location in the store to show the owner's absolute confidence in these bikes//c whether it is its craftsmanship//c design or added value... So don't get tricked! Just buy the model that you actually need!
furniture-10004709,Biker's Diary - Stairway
furniture-20004709,Standing at a high area and overlooking motorbikes of all shapes and sizes feels just like being at a museum//c but the difference being that you can personally ride one home yourself!
furniture-10004710,Biker's Diary - Tough Sofa
furniture-20004710,This series of sofas with hard textures was specially made for hardcore female T-Dolls. It takes pride in never having been stained by the slightest bit of chocolate or ice cream.
furniture-10004711,Biker's Diary - Military Motorbike
furniture-20004711,Why don't you take it? This war horse longs to return to galloping on the real battlefields instead of living within the fake scenery of war movies!
furniture-10004712,Biker's Diary - Warehouse Window
furniture-20004712,It's publicly claimed to be a warehouse storing second-hand bikes//c but in truth it's specially used for storing the boss' personal bike collection. Even so//c the sales staff always secretly take them out for a joyride.
furniture-10004713,Biker's Diary - Dismantled Parts Display Wall
furniture-20004713,A display wall specially designed to create an extraordinary atmosphere within the shop. Children like to stand in front of it and stare. The display items are usually placed high up to avoid letting these fearsome creatures from leaving fingerprints.
furniture-10004714,Biker's Diary - Bikes to be Sold
furniture-20004714,If they're left unsold for a long time//c the technicians in the maintenance department will usually dismantle them to use as parts for fixing other bikes. Many stories are left behind//c though no one's ever heard of them//c but there have been people who've experienced it themselves.
furniture-10004801,Hometown Reminiscence - Little Artists in the Snow
furniture-20004801,Chicks draw bamboo leaves//c puppies draw plum blossoms//c ducklings draw maple leaves//c foals draw cresent moons... What're the children running over here for? They've messed up the drawings!
furniture-10004802,Hometown Reminiscence - Popcorn Machine
furniture-20004802,This is a traditional popcorn baking tool from China. Though it looks more like an apparatus for evil alchemists//c I assure you that it is very saf-- BOOM!//nThis the reason why everyone thought Type56R just returned from the coal mines.
furniture-10004803,Hometown Reminiscence - Auspicious Start
furniture-20004803,It is used to chase away unluckiness and thieving birds//c but it doesn't work on little children. In fact//c it has the opposite effect on them. They'll take away your gong and mallet...and then your sleep.
furniture-10004804,Hometown Reminiscence - Plum Blossoms by the Corner
furniture-20004804,Can't you learn anything from the resilient plum blossoms? -- Type88 //nPeople who're willing to suffer won't have friends. -- Type80
furniture-10004805,Hometown Reminiscence - Firecracker Store
furniture-20004805,Unlike gunfire//c fireworks usually represent joy and happiness... -- Type95//nBut isn't obtaining victory through gunfire joyous as well? What's the difference! -- Type97
furniture-10004806,Hometown Reminiscence - Small Ice-Lantern
furniture-20004806,Help! The T-Dolls of Griffin have cast a spell of ice on me! Only the kiss of true love can... -- ??//nCan make you edible? Then I'm gonna kiss you! -- Type56-1//nNo//c please//c stop! I'm coming out right now! -- T65
furniture-10004807,Hometown Reminiscence - Weathered Frozen Branches
furniture-20004807,What did you want to teach me? -- Type63 //nInviting a friend here to kick at a tree is a common folk entertainment...and sport! Hahahaha//c come and catch me! -- Type59
furniture-10004808,Hometown Reminiscence - Snack Shop
furniture-20004808,Don't throw away the bamboo skewers after you finish eating. We can keep on using them for the next year. -- Type92 //nWe've already used them for two years! Even sustainable living should have a limit! -- Type79 //nIf there's a limit//c then why would it be called sustainable living? -- Type92
furniture-10004809,Hometown Reminiscence - Snowkid
furniture-20004809,The secret to a snowman's growth is longer periods of cruel weather and not having anyone to play with... What a weird fellow.
furniture-10004810,Hometown Reminiscence - Small Tea Table
furniture-20004810,I heard that you guys chat while drinking tea. Aren't you afraid of choking? -- T91 //nThe topic we're discussing right now is whether or not you guys will choke. -- Type64
furniture-10004811,Hometown Reminiscence - Symphony of Frost and Flame
furniture-20004811,To young humans//c there's no difference between firecrackers and gunfire. Both are used for entertainment//c are lethal//c and are only used at places inconvenient to clean up.
furniture-10004812,Hometown Reminiscence - Small Bamboo Stool - Right
furniture-20004812,The creaky noise and the strict requirements on the sitting posture makes some neurotic science students very uncomfortable. Perhaps this is why ancient China was not very advanced in science.
furniture-10004813,Hometown Reminiscence - Small Bamboo Stool - Left
furniture-20004813,The creaky noise and the strict requirements on the sitting posture makes some neurotic science students very uncomfortable. Perhaps this is why ancient China was not very advanced in science.
furniture-10004814,Hometown Reminiscence - Campstool
furniture-20004814,An important tool in day-to-day life. It is used during gossiping//c visiting friends and family//c sitting in vehicles//c and even when fighting with others. -- Type97S//nPlease//c don't give me any more trouble! -- Type81R
furniture-10004815,Hometown Reminiscence - Blessings at the Gate
furniture-20004815,New year//c new scene! -- JS05//nYou're the only new one here. Is it really necessary to celebrate? -- NZ75//nWe should celebrate the fact that everyone is here! -- JS05
furniture-10002007,Poster - Singularity 2019
furniture-20002007,2019 Winter Event - Special poster for Singularity
furniture-10004901,Echelon Collection - Tactical Floor
furniture-20004901,It seemingly gives off a hard-boiled commander vibe. Of course//c most of the differences between a hard-boiled and a regular commander can be summed up as only "seemingly".
furniture-10004902,Echelon Collection - Tactical Doll AK-12
furniture-20004902,A life sized figure based on a T-Doll who always keeps her eyes closed. She is curious about everything//c but rarely does she get involved. She's well aware that having a wild nature is an unstable bomb.
furniture-10004903,Echelon Collection - Tactical Cutout CZ75
furniture-20004903,A cutout of a violent T-Doll who is not good at expressing herself. She likes to solve issues and goodwill shown to her with actions rather than words... Yes//c "solve"...
furniture-10004904,Echelon Collection - Tactical Cutout S.A.T.8
furniture-20004904,A cutout of a cheerful and stable T-Doll. She tends to lose her mind in unexpected situations and when she encounters cute things. Forget it//c I take my words back. She's not so stable after all.
furniture-10004905,Echelon Collection - Tactical Cutout M99
furniture-20004905,A cutout of a well-behaved and gentle T-Doll. She likes rabbits and cooking//c but don't you dare cook rabbits in front of her//c or she'll bite you.
furniture-10004906,Echelon Collection - Leisure Manga Shelf
furniture-20004906,Please observe the golden rule before you start flipping through a manga; make sure that the final chapter is on the shelf.
furniture-10004907,Echelon Collection - Leisure Anime Figure Shelf
furniture-20004907,"Money CAN buy happiness!" A sincere thought of yours as you stand before your shelf full of anime figures. In other words//c "I just want everyone to be happy!"
furniture-10004908,Echelon Collection - Leisure Equipment Shelf
furniture-20004908,It is used to store what was the latest tech gadgets on the market. Also known as the irrational consumer museum...or the dust collector.
furniture-10004909,Echelon Collection - Leisure Coffee Table
furniture-20004909,Cozy moments are always invaluable. You need to work hard for a day like today. Perhaps you should just do nothing and enjoy the moment.
furniture-10004910,Echelon Collection - Leisure Games Shelf
furniture-20004910,You say the games of today are nowhere as fun as the games of the past. You say the games have changed//c you have changed//c and the times have changed. In fact//c nothing has changed as long as you still enjoy them.
furniture-10004911,Echelon Collection - Leisure Game Console
furniture-20004911,《What is the future》//n"Wanna guess what the games will be like in the future? Maybe we'll have multiplayer Pong in color with score tracking!"//n"Welcome to the future-"//n"My god..."
furniture-10004912,Echelon Collection - Tactical Computer Chair
furniture-20004912,An office chair with a futuristic feel to it. Futuristic meaning laziness//c and laziness meaning a better life.
furniture-10004913,Echelon Collection - Leisure Computer Chair - Left
furniture-20004913,This chair is not leisurely at all//c especially when you want to take a nap or put your arms on the armrests pretending to contemplate. This is an unfortunate product from humanity's course of scientific exploration.
furniture-10004914,Echelon Collection - Leisure Computer Chair - Right
furniture-20004914,This chair is not leisurely at all//c especially when you want to take a nap or put your arms on the armrests pretending to contemplate. This is an unfortunate product from humanity's course of scientific exploration.
furniture-10004915,Echelon Collection - Leisure Lazy Chair - Red
furniture-20004915,The world is dying//c but we don't care as we melt away on this chair.
furniture-10004916,Echelon Collection - Leisure Lazy Chair - Blue
furniture-20004916,Don't worry so much//c wasting time is mankind's specialty. Best not to ruin it.
furniture-10004917,Echelon Collection - Tactical Steel Wall
furniture-20004917,It has fantastic sound insulation. You can easily do something you enjoy in secrecy//c like working overtime.
furniture-10004918,Echelon Collection - Tactical Lights
furniture-20004918,It comes with a [open reference mode] tactical [end reference mode] mode. Prior to each and every use//c please scan your iris at the terminal and provide the nail color of the current T-Doll on duty as the secret answer.
furniture-10005001,Wedding Scenery - Wedding Grass Field
furniture-20005001,The grass represents natural purity//c although we had to burn the weeds and trim the grass. The same goes for the ceremony.
furniture-10005002,Wedding Scenery - Photographic Dolly Track
furniture-20005002,To film a beautiful long take for a movie or a video game//c we need good cinematography and T-Doll actresses willing to follow the script.
furniture-10005003,Wedding Scenery - Castle Wall - Far
furniture-20005003,Background of a castle wall that stands far off into the distance. Or maybe it's just small rather than far.
furniture-10005004,Wedding Scenery - Castle Wall - Near
furniture-20005004,Background of a castle wall that stands nearby. It's very big//c so you best hope that you're standing between the arches if it collapses on you.
furniture-10005005,Wedding Scenery - Castle Gate - Background
furniture-20005005,Background of a castle gate that stands in the center. Ignore that thing dangling at the top and pretend everything is real. Just like your feelings.
furniture-10005006,Wedding Scenery - Photography Director's Seat
furniture-20005006,Sit in the seat and pretend to be in control of everything. Even if things had already been decided in advance//c you still have the chance to mess things up.
furniture-10005007,Wedding Scenery - Wedding Convertible Car
furniture-20005007,How can you tell it's not tears of joy if someone is crying in this car?
furniture-10005008,Wedding Scenery - Photographic Film Light
furniture-20005008,Like darkness//c light can also obscure the truth. That's right//c the purpose of art is to obscure the truth in the first place.
furniture-10005009,Wedding Scenery - Photography Camera
furniture-20005009,It has the great honor of witnessing human history//c but don't ask it whether nuclear bomb or chocolate is the greater invention.
furniture-10005010,Wedding Scenery - Wedding Arbor
furniture-20005010,I'm really envious of this thing. It only ever bears witness to the moment of happiness//c and not the bumpy roads prior to and after this moment.
furniture-10005011,Wedding Scenery - Cinema Camera
furniture-20005011,It knows the world is alive//c much more than we do//c because it doesn't need to think about extraneous things.
furniture-10005012,Wedding Scenery - Photographic Background Wall
furniture-20005012,Its existence suggests that everything here is for the sake of an image. Anything you can touch is never that romantic.
furniture-10005013,Wedding Scenery - Photographic Sky Screen
furniture-20005013,Is the real life behind the screen//c or is it an impassable wall? Is there even a difference?
furniture-10005014,Wedding Scenery - Photographic Softbox
furniture-20005014,It makes pictures more beautiful than the truth... Who likes the truth anyway? The truth is basically a troop of lying monkeys.
furniture-10005015,Wedding Scenery - Wedding Table
furniture-20005015,What else is there to do besides leaving after eating at the wedding party? Happiness is short-lived//c so enjoy it to your heart's content before you'll have to look back on it.
furniture-10005016,Wedding Scenery - Wedding Chairs
furniture-20005016,It matters not who//c but how many sit on these seats. The sole purpose of the people on these seats in the movies is to form a rowdy crowd for the bouquet toss scene anyway.
furniture-10050502,Honey Sweet Moment - Elite N.E.E.T. Sign
furniture-20050502,Another sign that reveals the true purpose of life. But is this "truth" reality?
furniture-10050503,Honey Sweet Moment - Wedding Curtains
furniture-20050503,Seeing the bouquets on the curtains reminds you of that sweet moment//c even if it is filled with happiness that is not your own.
furniture-10002008,Easter Bunny
furniture-20002008,This huge doll is a symbol of Easter. There seems to be some strange noise coming from inside of it... Maybe it represents the turmoil of a new life.//nHey//c have you guys seen the Chief around? Where did she go? -- Type97S
furniture-10002009,Bunny Microphone
furniture-20002009,This microphone at the Easter party is slightly decorated with a festive appearance.//nYou'll probably sound cuter if you sing with this microphone. -- M950A
furniture-10002010,Bunny Ear Speakers
furniture-20002010,This pair of speakers at the Easter party have rabbit ears that match the theme of the holiday.//nART556//c you can touch the decorations all you want//c but don't you dare try to tear them apart again. -- Gr G36
furniture-10002011,Easter Egg Ornament: Careful//c May Detonate!
furniture-20002011,An Easter egg essential for the holiday. Compared to the egg itself//c what can be acquired after opening it is really the focus of everyone's attention.//nUuuu... This Easter egg...looks suspiciously similar to something that explodes. -- Gr G11
furniture-10003105,Old-School Rhythm Arcade Machine
furniture-20003105,Made famous by its simple gameplay and its excellent music//c this arcade machine once led the wave of rhythm games among humans. "From L to O to V and E//c you give the meaning of my life to me."
furniture-10003106,Crystal Ball of Dreams
furniture-20003106,I hope that what she saw//c her memories//c and her feelings will be relayed to you through this new song//c even in this devastated world. "My heart right now... It's Only For You."
furniture-10005201,Swimming Fish//c Flying Geese - Long Stone Path
furniture-20005201,Do you only feel grounded when you step on it? But it's so uneven...
furniture-10005202,Swimming Fish//c Flying Geese - Lush Grass and Fluffy Clouds
furniture-20005202,Some of the little buds have already blossomed//c and they might be very happy to know that you noticed.
furniture-10005203,Swimming Fish//c Flying Geese - Little Bridge Crossing
furniture-20005203,Do you know how happy the fish are? The fish don't know how happy you are//c and they don't want to know.
furniture-10005204,Swimming Fish//c Flying Geese - Long-Lasting Lamp
furniture-20005204,You need to stand on a bench to top up its oil//c which was why mankind invented the electric light.
furniture-10005205,Swimming Fish//c Flying Geese - Ancestral Altar
furniture-20005205,The thoughts you let wander can't go anywhere//c and in the end they will flow back to your heart. But hopefully their journey will give you strength.
furniture-10005206,Swimming Fish//c Flying Geese - Tri-colored Gong
furniture-20005206,The three colors represent Heaven//c Earth and Man coming together//c but from scientific and life experiences//c the three of them won't mix.
furniture-10005207,Swimming Fish//c Flying Geese - Foothill General
furniture-20005207,You put it here to bring you fortune//c but all it thinks about is who will turn off the tap and leaving this hollow modern world behind.
furniture-10005208,Swimming Fish//c Flying Geese - Eucalyptus Stone Lantern
furniture-20005208,It's warm in front of the lamp and cool under the trees. The person sitting between them is bored//c what a shame that it isn't me.
furniture-10005209,Swimming Fish//c Flying Geese - Forest Brook
furniture-20005209,It was initially made to scare the birds away//c but in this age the birds won't come even if you bribe them with breadcrumbs.
furniture-10005210,Swimming Fish//c Flying Geese - Cooling Backyard
furniture-20005210,Yes//c you need a big house if you roll around in your sleep. Perhaps money was made for people with various deficiencies.
furniture-10005211,Swimming Fish//c Flying Geese - Cat-Finding Diary
furniture-20005211,The cats love you//c but they still get lost. You should love yourself//c even if you lose yourself from time to time.
furniture-10005212,Swimming Fish//c Flying Geese - Front Yard Tree
furniture-20005212,Only the bedding and the pillow are necessary//c as everything else is just a lifestyle decoration//c be it the walls//c the tree//c or valuable pottery.
furniture-10005213,Swimming Fish//c Flying Geese - Springtime Nap in the Grass
furniture-20005213,People are sleepy in spring//c sleepless in summer//c snoring in autumn//c and unwakeable in winter. Happiness is not worrying about whether the time you've spent has been wasted.
furniture-10003107,Elite Adventurer Medal
furniture-20003107,To commemorate the extraordinary adventures of the Commander and T-Dolls of Griffin.
furniture-10050602,Steel Giant
furniture-20050602,A painting that looks as if it's world famous. It gives you a heavy feeling in your heart every time you look at it...
furniture-10005301,Convention Craze - Convention Floor
furniture-20005301,No shoes? No problem. Just step on all the long skirts that drag on the floor.
furniture-10005302,Convention Craze - Autograph Table
furniture-20005302,Please refrain from photographing or video-recording. All that exists here is a human being quietly signing autographs with a big heart of love.
furniture-10005303,Convention Craze - Convention Promo Ad
furniture-20005303,The promo ad is an important aspect of convention-goer attraction//c so let's get started! Now is the time to compete with the other booths on who has the louder speakers!
furniture-10005304,Convention Craze - Convention Lights
furniture-20005304,These lights are never too dazzling not because they want to appear ordinary//c but because there is always something even more striking at a convention.
furniture-10005305,Convention Craze - On-Site Factory Display
furniture-20005305,Is luck also an aspect of power...? No//c luck is everything when it comes to power.
furniture-10005306,Convention Craze - Merchandise Crowd
furniture-20005306,Take advantage of your time in the queue to sensibly reorganize your shopping bags to make a contribution to the orderly conduct of the convention and the harmonious law and unity of the universe.
furniture-10005307,Convention Craze - Autograph Crowd
furniture-20005307,What is this line for? Perhaps it's just a name//c or perhaps it's an embodiment of deep respect engraved onto paper.
furniture-10005308,Convention Craze - Convention Crowd Barrier
furniture-20005308,A convention is like a besieged city. The people outside want in//c and the people inside want out.
furniture-10005309,Convention Craze - On-Site Command Display
furniture-20005309,Give your order//c Commander! By the way//c stand here to put yourself into the shoes of an adjutant to experience her job and understand her feelings.
furniture-10005310,Convention Craze - Merchandise Showcase
furniture-20005310,One does not need too many Dinergates in life//c and in fact//c what DO you need besides the basic life necessities? Perhaps a Dinergate can show you.
furniture-10005311,Convention Craze - On-Site Cutout
furniture-20005311,Life-sized cutout of a Tactical Doll. Sometimes the actual T-Doll in question or her sister will personally retrieve this cutout after the end of a convention.
furniture-10005312,Convention Craze - On-Site Photographer
furniture-20005312,If the lens focal length is really that important then why do we still need image editing software?
furniture-10005313,Convention Craze - On-Site Ad Board
furniture-20005313,Everyone can clearly see this T-Doll is nothing more than a huge decoration...//nUntil she suddenly moves and shouts "I AM HUNGRY!"
furniture-10005314,Convention Craze - Merchandise Table
furniture-20005314,"Welcome//c Commander! You're finally here after lining up for so long in this sea of people! So...since you're here//c why don't you buy something?" -- Kalina
furniture-10005315,Convention Craze - Merchandise Rack
furniture-20005315,The majority of these T-Dolls probably don't wish to stay on this rack forever! Please rescue them now!
furniture-10005316,Convention Craze - On-Site Command Chair
furniture-20005316,Anything that has to do with war is decorated in an extravagant manner. That's why the chair in Griffin Control is much more luxurious than this one.
furniture-10005317,Convention Craze - Convention Venue
furniture-20005317,No gods or kings//c only man. That's right//c there are only humans here! They're all humans!
furniture-10005401,Saturday Night Fever - Dance Club Flooring
furniture-20005401,Smooth and glossy enough to put the flooring outside to shame//c this flooring will gradually lose its dignity with each and every spilled drink and dropped snack.
furniture-10005402,Saturday Night Fever - Dance Pad
furniture-20005402,This kind of plebeian entertainment equipment is built upon sophisticated mathematics and artistic designs//c so wake up//c people! Everything is under the control of the ruling elite!
furniture-10005403,Saturday Night Fever - Revelrous Drinks Table
furniture-20005403,Let's place snacks and drinks on this table and flip everything over all at once! Why shouldn't I? The life we bear is heavier than the table we fling once a year!
furniture-10005404,Saturday Night Fever - Party Mini Fridge
furniture-20005404,To tonight//c cheers! ...But don't throw the bottles away//c because Type92 will take and sell them.
furniture-10005405,Saturday Night Fever - Anniversary Cake
furniture-20005405,Savor it to your heart's content for all the free souls out there! Just note that every bite adds to your gravitational field!
furniture-10005406,Saturday Night Fever - Party Floor Lamp
furniture-20005406,The light of this lamp serves as a corner of tranquil refuge within the party's neon haze. So what do you want to talk about? The weather? Or do you want to hear a story?
furniture-10005407,Saturday Night Fever - Mascot Balloons
furniture-20005407,Submersed in a beautiful ambience waiting for their own destiny//c they will either slowly deflate within a sea of laughter or be popped underfoot by opportunistic pranksters.
furniture-10005408,Saturday Night Fever - Party Turntable Mixer
furniture-20005408,Your guests will still bob their heads to the rhythm no matter how rebellious they claim to be//c just like how the motorcyclists that love to roar down the streets will still stop at a red light.
furniture-10005409,Saturday Night Fever - Dance Club Wallpaper
furniture-20005409,Everything is born from darkness//c and even the lively party is but a fleeting moment in time. Once you leave//c it'll be very lonely.
furniture-10005410,Saturday Night Fever - Night View Window
furniture-20005410,Are you concerned about the world outside the window? Some are starving and some are crying//c so shouldn't you be happier with what you have//c just like how salted fruits taste sweeter?
furniture-10005411,Saturday Night Fever - Old Party Posters
furniture-20005411,Some eras are very far gone//c while some eras have only recently passed. Nevertheless//c they're all times of the past. There's no present//c only tomorrow.
furniture-10005412,Saturday Night Fever - Revelrous Neon Sign
furniture-20005412,Let us party tonight! Because the T-Doll depicted by this decoration will surely smash it to bits by tomorrow morning!
furniture-10005413,Saturday Night Fever - Star Lights
furniture-20005413,These are not real stars; the real stars are hidden in a faraway place. Not to mention//c they may not be very welcoming of us.
furniture-10005414,Saturday Night Fever - Tiger Couch
furniture-20005414,The tiger plush doll will not eat you//c but the couch might//c and then it'll spit you back out in the morning.
furniture-10005415,Saturday Night Fever - Revelrous Sofa Chair
furniture-20005415,Sitting across from your sofa chair//c the other person listens to you intently in the midst of the unchecked cacophony. Perhaps they like you//c or perhaps they're drunk//c or maybe even both. Tonight may be all the time you have.
furniture-10005501,Star of Amusement Park - Amusement Park Stone Floor
furniture-20005501,The dirty floor proves that the amusement park is popular//c so is the floor happy about it? Maybe we should hire some more stupid stone bricks.
furniture-10005502,Star of Amusement Park - Clear Sky Castle
furniture-20005502,Are those who yearn for castles above love more realistic? Are those who pursue love rather than castles braver?
furniture-10005503,Star of Amusement Park - Popcorn Cart
furniture-20005503,Please don't bring it to any entertainment facilities. Who would have the heart to let one that has forged a new//c independent life back into chaos?
furniture-10005504,Star of Amusement Park - Shooting Game
furniture-20005504,Every prize won is a Dinergate shot dead! ...So what are you waiting for? Restore your incomplete childhood! Human//c become the bully!
furniture-10005505,Star of Amusement Park - Amusement Park Eggs Lights
furniture-20005505,It has been bound by the earth for too long. Once its popularity heats up//c it will hatch birds in search of the blue sky.
