gift_item-10000001,Pumpkin Mishka
gift_item-30004204,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004205,
gift_item-20004205,Unlocks a new costume for your T-Doll
gift_item-30004205,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004206,
gift_item-20004206,Unlocks a new costume for your T-Doll
gift_item-30004206,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004207,
gift_item-20004207,Unlocks a new costume for your T-Doll
gift_item-30004207,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004208,
gift_item-20004208,Unlocks a new costume for your T-Doll
gift_item-30004208,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004209,
gift_item-20004209,Unlocks a new costume for your T-Doll
gift_item-30004209,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004210,
gift_item-20004210,Unlocks a new costume for your T-Doll
gift_item-30004210,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004301,
gift_item-20004301,
gift_item-30004301,
gift_item-10004302,
gift_item-20004302,
gift_item-30004302,
gift_item-10004303,
gift_item-20004303,
gift_item-30004303,
gift_item-10004304,
gift_item-20004304,
gift_item-30004304,
gift_item-10004305,
gift_item-20004305,
gift_item-30004305,
gift_item-10004306,
gift_item-20004306,
gift_item-30004306,
gift_item-10004308,Strawberry Cake & Garden Cosmos
gift_item-20004308,Unlocks a new costume for your T-Doll
gift_item-30004308,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004309,
gift_item-20004309,
gift_item-30004309,
gift_item-10004310,
gift_item-20004310,Unlocks a new costume for your T-Doll
gift_item-30004310,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004401,Smokeless Lollipop
gift_item-20004401,Unlocks a new costume for your T-Doll
gift_item-30004401,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004402,Marvelous Yam Pastry
gift_item-20004402,Unlocks a new costume for your T-Doll
gift_item-30004402,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004403,Inflammable Oolong Tea
gift_item-20004403,Unlocks a new costume for your T-Doll
gift_item-30004403,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004404,Devil's Ring Pop
gift_item-20004404,Unlocks a new costume for your T-Doll
gift_item-30004404,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004405,Carbonated Fizzers
gift_item-20004405,Unlocks a new costume for your T-Doll
gift_item-30004405,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004406,Hundred-Flavor Curry Bunny
gift_item-20004406,Unlocks a new costume for your T-Doll
gift_item-30004406,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000530,A Girl's Hot Air Balloon Adventure
gift_item-20000530,Unlocks a new costume for your T-Doll
gift_item-30000530,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000531,The Guarded Beloved
gift_item-20000531,Unlocks a new costume for your T-Doll
gift_item-30000531,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000532,Top Hat Drifting to the Flowers
gift_item-20000532,Unlocks a new costume for your T-Doll
gift_item-30000532,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000533,The One-Eyed Rabbit Knight
gift_item-20000533,Unlocks a new costume for your T-Doll
gift_item-30000533,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000534,Guardian in the Rye
gift_item-20000534,Unlocks a new costume for your T-Doll
gift_item-30000534,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000535,The Wish-Making Sorceress of Fireworks
gift_item-20000535,Unlocks a new costume for your T-Doll
gift_item-30000535,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000536,The Wish-Granting Sorceress of Fireworks
gift_item-20000536,Unlocks a new costume for your T-Doll
gift_item-30000536,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000537,Herbal-Flavored Hard Candy
gift_item-20000537,Unlocks a new costume for your T-Doll
gift_item-30000537,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000538,The Rex Rabbit In Search of Courage
gift_item-20000538,Unlocks a new costume for your T-Doll
gift_item-30000538,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000539,The Wish-Preserving Witch of Shadows
gift_item-20000539,Unlocks a new costume for your T-Doll
gift_item-30000539,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004501,
gift_item-20004501,Unlocks a new costume for your T-Doll
gift_item-30004501,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004502,War Correspondent
gift_item-20004502,Unlocks a new costume for your T-Doll
gift_item-30004502,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004503,
gift_item-20004503,Unlocks a new costume for your T-Doll
gift_item-30004503,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004504,
gift_item-20004504,Unlocks a new costume for your T-Doll
gift_item-30004504,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004505,
gift_item-20004505,Unlocks a new costume for your T-Doll
gift_item-30004505,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004506,
gift_item-20004506,Unlocks a new costume for your T-Doll
gift_item-30004506,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004507,
gift_item-20004507,Unlocks a new costume for your T-Doll
gift_item-30004507,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004508,
gift_item-20004508,Unlocks a new costume for your T-Doll
gift_item-30004508,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004509,
gift_item-20004509,Unlocks a new costume for your T-Doll
gift_item-30004509,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004510,
gift_item-20004510,Unlocks a new costume for your T-Doll
gift_item-30004510,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004511,
gift_item-20004511,Unlocks a new costume for your T-Doll
gift_item-30004511,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004514,
gift_item-20004514,Unlocks a new costume for your T-Doll
gift_item-30004514,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004708,Astra's Pool Adventures
gift_item-20004708,Unlocks a new costume for your T-Doll
gift_item-30004708,,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000541,Triela – Shadow Operations
gift_item-20000541,Unlocks a new costume for your T-Doll
gift_item-30000541,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000542,Rico – Ristorante of Freedom
gift_item-20000542,Unlocks a new costume for your T-Doll
gift_item-30000542,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000543,Angelica – Fairy Tale Beginning
gift_item-20000543,Unlocks a new costume for your T-Doll
gift_item-30000543,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000544,Henrietta – Artemis' Vacation
gift_item-20000544,Unlocks a new costume for your T-Doll
gift_item-30000544,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000545,Claes – Morning Breeze in the Garden
gift_item-20000545,Unlocks a new costume for your T-Doll
gift_item-30000545,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004702,
gift_item-20004702,Unlocks a new costume for your T-Doll
gift_item-30004702,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004703,
gift_item-20004703,Unlocks a new costume for your T-Doll
gift_item-30004703,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004704,
gift_item-20004704,Unlocks a new costume for your T-Doll
gift_item-30004704,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004705,
gift_item-20004705,Unlocks a new costume for your T-Doll
gift_item-30004705,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004706,
gift_item-20004706,Unlocks a new costume for your T-Doll
gift_item-30004706,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004707,
gift_item-20004707,Unlocks a new costume for your T-Doll
gift_item-30004707,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004709,
gift_item-20004709,Unlocks a new costume for your T-Doll
gift_item-30004709,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004801,Heart of Dark Iron
gift_item-20004801,Unlocks a new costume for your T-Doll
gift_item-30004801,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004802,Requiem Array
gift_item-20004802,Unlocks a new costume for your T-Doll
gift_item-30004802,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004803,Blade of White Steel
gift_item-20004803,Unlocks a new costume for your T-Doll
gift_item-30004803,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004804,Gunsmoke Decree
gift_item-20004804,Unlocks a new costume for your T-Doll
gift_item-30004804,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004805,Sentinel of the Sky
gift_item-20004805,Unlocks a new costume for your T-Doll
gift_item-30004805,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004901,
gift_item-20004901,
gift_item-30004901,
gift_item-10004902,
gift_item-20004902,
gift_item-30004902,
gift_item-10004903,
gift_item-20004903,
gift_item-30004903,
gift_item-10004904,
gift_item-20004904,
gift_item-30004904,
gift_item-10004905,
gift_item-20004905,
gift_item-30004905,
gift_item-10004906,
gift_item-20004906,
gift_item-30004906,
gift_item-10004907,
gift_item-20004907,
gift_item-30004907,
gift_item-10004908,
gift_item-20004908,
gift_item-30004908,
