achievement-10000001,A Little Interest
achievement-20000551,Acquire 20 different Fairies.
achievement-30000551,
achievement-10000552,Elite Collector: Fairy
achievement-20000552,Acquire 25 different Fairies.
achievement-30000552,
achievement-10000553,Master Collector: Fairy
achievement-20000553,Acquire 30 different Fairies.
achievement-30000553,
achievement-10000554,Tooth Fairy
achievement-20000554,Perform 1 Fairy Calibration.
achievement-30000554,
achievement-10000555,Leprechaun
achievement-20000555,Perform 10 Fairy Calibrations.
achievement-30000555,
achievement-10000556,Flying Pixie Dust
achievement-20000556,Perform 50 Fairy Calibrations.
achievement-30000556,
achievement-10000557,The Magic Griffin Lamp
achievement-20000557,Perform 100 Fairy Calibrations.
achievement-30000557,
achievement-10000558,Blood Shard
achievement-20000558,Perform 500 Fairy Calibrations.
achievement-30000558,
achievement-10000559,Helmet//c Flying Sandals//c and Sheepskin Pouch.
achievement-20000559,Perform 1//c000 Fairy Calibrations.
achievement-30000559,
achievement-10000560,Excalibur
achievement-20000560,Perform 2//c000 Fairy Calibrations.
achievement-30000560,
achievement-10000561,My Preciousss
achievement-20000561,Perform 5//c000 Fairy Calibrations.
achievement-30000561,
achievement-10000562,Dobby is a Free Elf!
achievement-20000562,Dismantle 1 Fairy.
achievement-30000562,
achievement-10000563,The Exorcist
achievement-20000563,Dismantle 10 Fairies.
achievement-30000563,
achievement-10000564,The Power of Christ Compels You!
achievement-20000564,Dismantle 50 Fairies.
achievement-30000564,
achievement-10000565,Thumbelina
achievement-20000565,Dismantle 100 Fairies.
achievement-30000565,
achievement-10000566,A Midsummer Night's Dream
achievement-20000566,Dismantle 500 Fairies.
achievement-30000566,
achievement-10000567,Die Fee von Orleans
achievement-20000567,Dismantle 1//c000 Fairies.
achievement-30000567,
achievement-10000568,Fairy's Hammer
achievement-20000568,Dismantle 2//c000 Fairies.
achievement-30000568,
achievement-10000569,Society for the Promotion of Elfish Welfare
achievement-20000569,Dismantle 5//c000 Fairies.
achievement-30000569,
achievement-10000570,Public Lounge
achievement-20000570,Perform 1 Fairy Enhancement.
achievement-30000570,
achievement-10000571,Stonehenge
achievement-20000571,Perform 10 Fairy Enhancements.
achievement-30000571,
achievement-10000572,The Pied Piper of Griffin
achievement-20000572,Perform 50 Fairy Enhancements.
achievement-30000572,
achievement-10000573,A Wild Hunt
achievement-20000573,Perform 100 Fairy Enhancements.
achievement-30000573,
achievement-10000574,The Guardians of Abalone
achievement-20000574,Perform 500 Fairy Enhancements.
achievement-30000574,
achievement-10000575,Arabian Nights
achievement-20000575,Perform 1//c000 Fairy Enhancements.
achievement-30000575,
achievement-10000576,Neverland
achievement-20000576,Perform 2//c000 Fairy Enhancements.
achievement-30000576,
achievement-10000577,Somewhere Over the Rainbow
achievement-20000577,Perform 5//c000 Fairy Enhancements.
achievement-30000577,
achievement-10000578,Woodland Nymphs
achievement-20000578,Level up a Fairy's skill once.
achievement-30000578,
achievement-10000579,Valley Fairies
achievement-20000579,Level up a Fairy's skill 10 times.
achievement-30000579,
achievement-10000580,Goblins in a Cave
achievement-20000580,Level up a Fairy's skill 20 times.
achievement-30000580,
achievement-10000581,Undine's Fountain
achievement-20000581,Level up a Fairy's skill 50 times.
achievement-30000581,
achievement-10000582,Siren on the Reef
achievement-20000582,Level up a Fairy's skill 100 times.
achievement-30000582,
achievement-10000583,Banshee
achievement-20000583,Level up a Fairy's skill 200 times.
achievement-30000583,
achievement-10000584,The Gorgon Sisters
achievement-20000584,Level up a Fairy's skill 500 times.
achievement-30000584,
achievement-10000585,Neural Upgrade
achievement-20000585,Perform 1 Neural Upgrade.
achievement-30000585,
achievement-10000586,Woman From IOP
achievement-20000586,Perform 5 Neural Upgrades.
achievement-30000586,
achievement-10000587,Her Memories
achievement-20000587,Perform 10 Neural Upgrades.
achievement-30000587,
achievement-10000588,Planet of the T-Dolls
achievement-20000588,Perform 20 Neural Upgrades.
achievement-30000588,
achievement-10000589,Metropolis
achievement-20000589,Perform 50 Neural Upgrades.
achievement-30000589,
achievement-10000590,A Clockwork Chocolate
achievement-20000590,Perform 100 Neural Upgrades.
achievement-30000590,
achievement-10000591,12 Colas
achievement-20000591,Perform 200 Neural Upgrades.
achievement-30000591,
achievement-10000592,Griffin's Guide to the Universe
achievement-20000592,Perform 300 Neural Upgrades.
achievement-30000592,
achievement-10000593,Gun Runner 2064
achievement-20000593,Perform 400 Neural Upgrades.
achievement-30000593,
achievement-10000594,2064: A Space Voyage
achievement-20000594,Perform 500 Neural Upgrades.
achievement-30000594,
achievement-10000595,Heart Technology
achievement-20000595,Unlock Skill-2 once.
achievement-30000595,
achievement-10000596,Gravestone Piledriver
achievement-20000596,Unlock Skill-2 5 times.
achievement-30000596,
achievement-10000597,T-Doll's Elbow
achievement-20000597,Unlock Skill-2 10 times.
achievement-30000597,
achievement-10000598,Torrential Suplex
achievement-20000598,Unlock Skill-2 20 times.
achievement-30000598,
achievement-10000599,Ballista Bomb
achievement-20000599,Unlock Skill-2 50 times.
achievement-30000599,
achievement-10000600,Welrod Kick
achievement-20000600,Unlock Skill-2 100 times.
achievement-30000600,
achievement-10000601,Wall of Gelica
achievement-20000601,Unlock Skill-2 150 times.
achievement-30000601,
achievement-10000602,Branded Cross
achievement-20000602,Unlock Skill-2 200 times.
achievement-30000602,
achievement-10000603,Perfect Dive
achievement-20000603,Singularity - Messenger: Complete the mission without engaging in battle.
achievement-30000603,
achievement-10000604,The Best Supporting Role
achievement-20000604,Singularity - Promotion III: Complete the mission with hostage squads eliminating 12 enemies in total.
achievement-30000604,
achievement-10000605,The Dispensables
achievement-20000605,Singularity - Minor Pieces Draw III: Complete the mission with S ranking with only 2 Echelons.
achievement-30000605,
achievement-10000606,Black Void
achievement-20000606,Singularity - Promotion I: Complete the mission with all nodes captured.
achievement-30000606,
achievement-10000607,Knight of Dishonor
achievement-20000607,Singularity - Last Resort I: All Echelons on the field have 0 ammo as the mission completes.
achievement-30000607,
achievement-10000608,It's Him
achievement-20000608,Watch the Singularity ending theme.
achievement-30000608,
achievement-10000609,Decadent Lifestyle
achievement-20000609,Download the full resource package for the first time.
achievement-30000609,
achievement-10000610,New Comic!!
achievement-20000610,Unlock 5 comics in the Cafe.
achievement-30000610,
achievement-10000611,License to Kill
achievement-20000611,Acquire a piece of Central Data for the first time.
achievement-30000611,
achievement-10000612,Game of Jokers
achievement-20000612,Acquire 10 pieces of Central Data.
achievement-30000612,
achievement-10000613,Tinner//c Clothier//c Fighter//c Undercover Agent
achievement-20000613,Acquire 20 pieces of Central Data.
achievement-30000613,
achievement-10000614,Cambridge Five
achievement-20000614,Acquire 50 pieces of Central Data.
achievement-30000614,
achievement-10000615,The Pandora Plan
achievement-20000615,Acquire 100 pieces of Central Data.
achievement-30000615,
achievement-10000616,Chaos Theory
achievement-20000616,Acquire 200 pieces of Central Data.
achievement-30000616,
achievement-10000617,Weapons of the Patriots
achievement-20000617,Acquire 500 pieces of Central Data.
achievement-30000617,
achievement-10000618,Snake Devourer
achievement-20000618,Acquire 1//c000 pieces of Central Data.
achievement-30000618,
achievement-10000619,Children of Liberty
achievement-20000619,Acquire 2//c000 pieces of Central Data.
achievement-30000619,
achievement-10000620,Black Road
achievement-20000620,Acquire 5//c000 pieces of Central Data.
achievement-30000620,
achievement-10000621,War is Power
achievement-20000621,Unlock your first Fire Support Team.
achievement-30000621,
achievement-10000622,War is Quantity
achievement-20000622,Unlock 3 Fire Support Teams.
achievement-30000622,
achievement-10000623,War is Who has the Bigger Guns
achievement-20000623,Unlock 5 Fire Support Teams.
achievement-30000623,
achievement-10000624,War is Money//c Money//c Money
achievement-20000624,Unlock 10 Fire Support Teams.
achievement-30000624,
achievement-10000625,Black Monolith
achievement-20000625,Acquire a chip for the first time.
achievement-30000625,
achievement-10000626,Pascal's Calculator
achievement-20000626,Acquire 10 chips.
achievement-30000626,
achievement-10000627,Babbage's Difference Engine
achievement-20000627,Acquire 100 chips.
achievement-30000627,
achievement-10000628,Jacquard Loom
achievement-20000628,Acquire 500 chips.
achievement-30000628,
achievement-10000629,Hollerith's Tabulating Machine
achievement-20000629,Acquire 1//c000 chips.
achievement-30000629,
achievement-10000630,Norden Bombsight
achievement-20000630,Acquire 2//c000 chips.
achievement-30000630,
achievement-10000631,Zuse's Computer
achievement-20000631,Acquire 5//c000 chips.
achievement-30000631,
achievement-10000632,Feynman's Pencil
achievement-20000632,Acquire 10//c000 chips.
achievement-30000632,
achievement-10000633,Fermi's Slide Rule
achievement-20000633,Acquire 20//c000 chips.
achievement-30000633,
achievement-10000634,Von Neumann's Brain
achievement-20000634,Acquire 30//c000 chips.
achievement-30000634,
achievement-10000635,Talking Knots
achievement-20000635,Use Code Refactoring for the first time.
achievement-30000635,
achievement-10000636,Penalty for Copying Homework
achievement-20000636,Acquire 10 Data Patches through Code Refactoring.
achievement-30000636,
achievement-10000637,Ghostwriter
achievement-20000637,Acquire 20 Data Patches through Code Refactoring.
achievement-30000637,
achievement-10000638,Copier Disciple
achievement-20000638,Acquire 50 Data Patches through Code Refactoring.
achievement-30000638,
achievement-10000639,The Bestowing Holy Man
achievement-20000639,Acquire 100 Data Patches through Code Refactoring.
achievement-30000639,
achievement-10000640,Punched Tape
achievement-20000640,Acquire 200 Data Patches through Code Refactoring.
achievement-30000640,
achievement-10000641,Tape Recording
achievement-20000641,Acquire 500 Data Patches through Code Refactoring.
achievement-30000641,
achievement-10000642,Floppy Disk Writing
achievement-20000642,Acquire 1//c000 Data Patches through Code Refactoring.
achievement-30000642,
achievement-10000643,CD Copy
achievement-20000643,Acquire 2//c000 Data Patches through Code Refactoring.
achievement-30000643,
achievement-10000644,Cloud Backup
achievement-20000644,Acquire 5//c000 Data Patches through Code Refactoring.
achievement-30000644,
achievement-10000645,Fire of Prometheus
achievement-20000645,Perform Intelligence Analysis with Original Sample for the first time.
achievement-30000645,
achievement-10000646,Archimedes' Pool
achievement-20000646,Perform Intelligence Analysis 10 times with Original Sample.
achievement-30000646,
achievement-10000647,Pythagoreanism
achievement-20000647,Perform Intelligence Analysis 100 times with Original Sample.
achievement-30000647,
achievement-10000648,Euclidean Geometry
achievement-20000648,Perform Intelligence Analysis 200 times with Original Sample.
achievement-30000648,
achievement-10000649,Ptolemy's Almagest
achievement-20000649,Perform Intelligence Analysis 500 times with Original Sample.
achievement-30000649,
achievement-10000650,Cartesian Coordinates
achievement-20000650,Perform Intelligence Analysis 1//c000 times with Original Sample.
achievement-30000650,
achievement-10000651,Leibniz's Notation
achievement-20000651,Perform Intelligence Analysis 2//c000 times with Original Sample.
achievement-30000651,
achievement-10000652,Newton's Apple
achievement-20000652,Perform Intelligence Analysis 5//c000 times with Original Sample.
achievement-30000652,
achievement-10000653,Lagrange Point
achievement-20000653,Perform Intelligence Analysis 10//c000 times with Original Sample.
achievement-30000653,
achievement-10000654,Laplace's Demon
achievement-20000654,Perform Intelligence Analysis 20//c000 times with Original Sample.
achievement-30000654,
achievement-10000655,Gaussian Curve
achievement-20000655,Perform Intelligence Analysis with Pure Sample for the first time.
achievement-30000655,
achievement-10000656,Zu's Ratio
achievement-20000656,Perform Intelligence Analysis 10 times with Pure Sample.
achievement-30000656,
achievement-10000657,Pareto Optimality
achievement-20000657,Perform Intelligence Analysis 50 times with Pure Sample.
achievement-30000657,
achievement-10000658,Riemann Function
achievement-20000658,Perform Intelligence Analysis 100 times with Pure Sample.
achievement-30000658,
achievement-10000659,Kepler Conjecture
achievement-20000659,Perform Intelligence Analysis 200 times with Pure Sample.
achievement-30000659,
achievement-10000660,Boolean Algebra
achievement-20000660,Perform Intelligence Analysis 500 times with Pure Sample.
achievement-30000660,
achievement-10000661,Abel Equation
achievement-20000661,Perform Intelligence Analysis 1//c000 times with Pure Sample.
achievement-30000661,
achievement-10000662,Shannon Signal
achievement-20000662,Perform Intelligence Analysis 2//c000 times with Pure Sample.
achievement-30000662,
achievement-10000663,Turing Logic
achievement-20000663,Perform Intelligence Analysis 5//c000 times with Pure Sample.
achievement-30000663,
achievement-10000664,Nash Equilibrium
achievement-20000664,Perform Intelligence Analysis 10//c000 times with Pure Sample.
achievement-30000664,
achievement-10000665,Stars are the Magic of Friendship
achievement-20000665,Promote a unit of your HOC for the first time.
achievement-30000665,
achievement-10000666,Stars are Wonderful Blessings
achievement-20000666,Promote a unit of your HOC 5 times.
achievement-30000666,
achievement-10000667,Stars are Endless Adventures
achievement-20000667,Promote a unit of your HOC 10 times.
achievement-30000667,
achievement-10000668,Stars are Mysterious Worlds
achievement-20000668,Promote a unit of your HOC 20 times.
achievement-30000668,
achievement-10000669,Stars are Pure Love Poems
achievement-20000669,Promote a unit of your HOC 50 times.
achievement-30000669,
achievement-10000670,Stars are Besieging T-Dolls
achievement-20000670,Promote a unit of your HOC 100 times.
achievement-30000670,
achievement-10000671,Stars are the Hymns of Hell
achievement-20000671,Promote a unit of your HOC 150 times.
achievement-30000671,
achievement-10000672,Griffin's Heart Medal
achievement-20000672,Upgrade a unit of your HOC to max stars for the first time.
achievement-30000672,
achievement-10000673,Griffin's Award of Honor
achievement-20000673,Upgrade 3 units of your HOC to max stars.
achievement-30000673,
achievement-10000674,Griffin's Cross
achievement-20000674,Upgrade 5 units of your HOC to max stars.
achievement-30000674,
achievement-10000675,Griffin's Heroic Trophy
achievement-20000675,Upgrade 10 units of your HOC to max stars.
achievement-30000675,
achievement-10000676,Griffin's Hall of Fame
achievement-20000676,Upgrade 20 units of your HOC to max stars.
achievement-30000676,
achievement-10000677,Griffin's Valhalla
achievement-20000677,Upgrade 30 units of your HOC to max stars.
achievement-30000677,
achievement-10000678,Tank Hunter
achievement-20000678,Level up a unit of your HOC to max level for the first time.
achievement-30000678,
achievement-10000679,Armored Nemesis
achievement-20000679,Level up 3 units of your HOC to max level.
achievement-30000679,
achievement-10000680,S.F. Scavenger
achievement-20000680,Level up 5 units of your HOC to max level.
achievement-30000680,
achievement-10000681,Battlefield Lawn Mower
achievement-20000681,Level up 10 units of your HOC to max level.
achievement-30000681,
achievement-10000682,Autonomous Disaster
achievement-20000682,Level up 20 units of your HOC to max level.
achievement-30000682,
achievement-10000683,Weapon of Mass Destruction
achievement-20000683,Level up 30 units of your HOC to max level.
achievement-30000683,
achievement-10000684,You Can Never Practice Too Much
achievement-20000684,Complete HOC EXP Training for the first time.
achievement-30000684,
achievement-10000685,Study Hard and Improve Every Day
achievement-20000685,Complete 10 hours of HOC EXP Training.
achievement-30000685,
achievement-10000686,Congratulations//c You Have Graduated From Being a Locust
achievement-20000686,Complete 100 hours of HOC EXP Training.
achievement-30000686,
achievement-10000687,Filling a Bucket of Sweat is Better Than Spilling a Bucket of Blood
achievement-20000687,Complete 200 hours of HOC EXP Training.
achievement-30000687,
achievement-10000688,Reasonable Requirements are Trained
achievement-20000688,Complete 500 hours of HOC EXP Training.
achievement-30000688,
achievement-10000689,Unreasonble Requirements are Honed
achievement-20000689,Complete 1//c000 hours of HOC EXP Training.
achievement-30000689,
achievement-10000690,Easy Days Only Exist Yesterday
achievement-20000690,Complete 2//c000 hours of HOC EXP Training.
achievement-30000690,
achievement-10000691,The Victorious Only Seeks Battle After the Victory has Been Won
achievement-20000691,Complete 5//c000 hours of HOC EXP Training.
achievement-30000691,
achievement-10000692,Peace is Only Temporary
achievement-20000692,Complete 10//c000 hours of HOC EXP Training.
achievement-30000692,
achievement-10000693,I've Become Strong
achievement-20000693,Complete 20//c000 hours of HOC EXP Training.
achievement-30000693,
achievement-10000694,Precision Shooting Training
achievement-20000694,Complete HOC Skill Training for the first time.
achievement-30000694,
achievement-10000695,Suppression Fire Training
achievement-20000695,Complete HOC Skill Training 10 times.
achievement-30000695,
achievement-10000696,Positioning Training
achievement-20000696,Complete HOC Skill Training 20 times.
achievement-30000696,
achievement-10000697,Quick Draw Training
achievement-20000697,Complete HOC Skill Training 50 times.
achievement-30000697,
achievement-10000698,Camouflage Training
achievement-20000698,Complete HOC Skill Training 100 times.
achievement-30000698,
achievement-10000699,Target Selection Training
achievement-20000699,Complete HOC Skill Training 200 times.
achievement-30000699,
achievement-10000700,Map Rewriting Training
achievement-20000700,Complete HOC Skill Training 500 times.
achievement-30000700,
achievement-10000701,Test Hum
achievement-20000701,Undergo HOC Iteration for the first time.
achievement-30000701,
achievement-10000702,Battlefield Roar
achievement-20000702,Undergo HOC Iteration 5 times.
achievement-30000702,
achievement-10000703,Hour Chime
achievement-20000703,Undergo HOC Iteration 10 times.
achievement-30000703,
achievement-10000704,Rolling Barrage
achievement-20000704,Undergo HOC Iteration 20 times.
achievement-30000704,
achievement-10000705,Crossing Fire Net
achievement-20000705,Undergo HOC Iteration 50 times.
achievement-30000705,
achievement-10000706,Killing Zone
achievement-20000706,Undergo HOC Iteration 100 times.
achievement-30000706,
achievement-10000707,Missile Orchestra
achievement-20000707,Undergo HOC Iteration 200 times.
achievement-30000707,
achievement-10000708,Gunfire Waltz
achievement-20000708,Undergo HOC Iteration 300 times.
achievement-30000708,
achievement-10000709,Chip Dismantling
achievement-20000709,Dismantle a chip for the first time.
achievement-30000709,
achievement-10000710,Breaking Your Keyboard in Rage
achievement-20000710,Dismantle 10 chips.
achievement-30000710,
achievement-10000711,Taking Apart Your Graphics Card in Rage
achievement-20000711,Dismantle 100 chips.
achievement-30000711,
achievement-10000712,Snapping Your Motherboard in Rage
achievement-20000712,Dismantle 200 chips.
achievement-30000712,
achievement-10000713,Kicking Your Processor in Rage
achievement-20000713,Dismantle 500 chips.
achievement-30000713,
achievement-10000714,Grilling Your Power Supply in Rage
achievement-20000714,Dismantle 1//c000 chips.
achievement-30000714,
achievement-10000715,Washing Your Hard Drive in Rage
achievement-20000715,Dismantle 2//c000 chips.
achievement-30000715,
achievement-10000716,Crying Over Your RAM in Rage
achievement-20000716,Dismantle 5//c000 chips.
achievement-30000716,
achievement-10000717,Punching a Hole in Your Monitor in Rage
achievement-20000717,Dismantle 10//c000 chips.
achievement-30000717,
achievement-10000718,Chip Enhancement
achievement-20000718,Perform Chip Enhancement for the first time.
achievement-30000718,
achievement-10000719,Overclock Newbie
achievement-20000719,Spend 10 chips through Chip Enhancement.
achievement-30000719,
achievement-10000720,Overclock Apprentice
achievement-20000720,Spend 100 chips through Chip Enhancement.
achievement-30000720,
achievement-10000721,Overclock Enthusiast
achievement-20000721,Spend 200 chips through Chip Enhancement.
achievement-30000721,
achievement-10000722,Overclock Warrior
achievement-20000722,Spend 500 chips through Chip Enhancement.
achievement-30000722,
achievement-10000723,Overclock Professional
achievement-20000723,Spend 1//c000 chips through Chip Enhancement.
achievement-30000723,
achievement-10000724,Overclock Master
achievement-20000724,Spend 2//c000 chips through Chip Enhancement.
achievement-30000724,
achievement-10000725,Overclock Elite
achievement-20000725,Spend 5//c000 chips through Chip Enhancement.
achievement-30000725,
achievement-10000726,Overclock Legend
achievement-20000726,Spend 10//c000 chips through Chip Enhancement.
achievement-30000726,
achievement-10000727,Overclock God
achievement-20000727,Spend 20//c000 chips through Chip Enhancement.
achievement-30000727,
achievement-10000728,Demolish Construction
achievement-20000728,Demolish enemy construction for the first time.
achievement-30000728,
achievement-10000729,When In Doubt//c C4!
achievement-20000729,Demolish 10 enemy constructions.
achievement-30000729,
achievement-10000730,Demolition Agency
achievement-20000730,Demolish 100 enemy constructions.
achievement-30000730,
achievement-10000731,SV S2//c D2
achievement-20000731,Demolish 200 enemy constructions.
achievement-30000731,
achievement-10000732,NN Mine
achievement-20000732,Demolish 500 enemy constructions.
achievement-30000732,
achievement-10000733,Dam Buster
achievement-20000733,Demolish 1//c000 enemy constructions.
achievement-30000733,
achievement-10000734,Harris' Night Party
achievement-20000734,Demolish 2//c000 enemy constructions.
achievement-30000734,
achievement-10000735,LeMay's Sea of Fire
achievement-20000735,Demolish 5//c000 enemy constructions.
achievement-30000735,
achievement-10000736,Bomb them Back to the Stone Age
achievement-20000736,Demolish 10//c000 enemy constructions.
achievement-30000736,
achievement-10000737,-500 Points
achievement-20000737,Continuum Turbulence - Defense Outpost 3: A hostage dies.
achievement-30000737,
achievement-10000738,Geronimo
achievement-20000738,Continuum Turbulence - General Offensive: Defeat a Paradeus tank.
achievement-30000738,
achievement-10000739,Gun God
achievement-20000739,Continuum Turbulence - "Support": Achieve victory without the help of Fire Support Teams.
achievement-30000739,
achievement-10000740,Puppet Master
achievement-20000740,Continuum Turbulence - For the Future: Turn a third party T-Doll rebel to our side.
achievement-30000740,
achievement-10000741,Bloodless Fortress Assault
achievement-20000741,Continuum Turbulence - Hurricane Rescue: Rescue a full HP hostage without engaging in battle.
achievement-30000741,
achievement-10000742,This Person Again
achievement-20000742,View the entire Isomer production credits.
achievement-30000742,
achievement-10000743,Dark Void - Isomer
achievement-20000743,Isomer - Illusory Peace I - Battle: Complete the mission with all nodes captured.
achievement-30000743,
achievement-10000744,Die By Bare Hands - Isomer
achievement-20000744,Isomer - Illusory Peace III - Battle: Complete the mission with zero ammo and rations for all echelons on the map.
achievement-30000744,
achievement-10000745,-500 Points - Isomer
achievement-20000745,Isomer - Beyond the Border II: A hostage dies.
achievement-30000745,
achievement-10000746,New Comic Repeat!!
achievement-20000746,Unlock 10 comics in the Cafe.
achievement-30000746,
achievement-10000747,March of the White Knights: Valhalla
achievement-20000747,Valhalla - Adolescence EX: Complete the mission without fighting a single battle.
achievement-30000747,
achievement-10000748,Drifting Leaves
achievement-20000748,Complete a total of 10 hours of exploration.
achievement-30000748,
achievement-10000749,Floating Duckweed
achievement-20000749,Complete a total of 50 hours of exploration.
achievement-30000749,
achievement-10000750,Swaying Canoe
achievement-20000750,Complete a total of 100 hours of exploration.
achievement-30000750,
achievement-10000751,Hovering Bird
achievement-20000751,Complete a total of 500 hours of exploration.
achievement-30000751,
achievement-10000752,Loitering Clouds
achievement-20000752,Complete a total of 1000 hours of exploration.
achievement-30000752,
achievement-10000753,Wandering Gale
achievement-20000753,Complete a total of 2000 hours of exploration.
achievement-30000753,
achievement-10000754,Confused Walker
achievement-20000754,Complete a total of 5000 hours of exploration.
achievement-30000754,
achievement-10000755,Eternal Traveler
achievement-20000755,Complete a total of 10000 hours of exploration.
achievement-30000755,
achievement-10000756,I Exist Everywhere
achievement-20000756,Complete a total of 20000 hours of exploration.
achievement-30000756,
achievement-10000757,A Moment of Inspiration
achievement-20000757,Encounter a total of 50 Echo events during explorations.
achievement-30000757,
achievement-10000758,Flexibility
achievement-20000758,Encounter a total of 100 Echo events during explorations.
achievement-30000758,
achievement-10000759,Seize the Opportunity
achievement-20000759,Encounter a total of 500 Echo events during explorations.
achievement-30000759,
achievement-10000760,Fright is not Surprise
achievement-20000760,Encounter a total of 1000 Echo events during explorations.
achievement-30000760,
achievement-10000761,Plan Can't Keep Up With Changes
achievement-20000761,Encounter a total of 5000 Echo events during explorations.
achievement-30000761,
achievement-10000762,Full of Accidents Everywhere
achievement-20000762,Encounter a total of 10000 Echo events during explorations.
achievement-30000762,
achievement-10000763,This is Life
achievement-20000763,Encounter a total of 20000 Echo events during explorations.
achievement-30000763,
achievement-10000764,Small Surprise in the Wasteland
achievement-20000764,Obtain a mid-exploration reward for the first time.
achievement-30000764,
achievement-10000765,Unusual Double Rewards
achievement-20000765,Obtain a total of 10 mid-exploration rewards.
achievement-30000765,
achievement-10000766,Three Things that I'm Used to Seeing
achievement-20000766,Obtain a total of 50 mid-exploration rewards.
achievement-30000766,
achievement-10000767,Four Average Items
achievement-20000767,Obtain a total of 100 mid-exploration rewards.
achievement-30000767,
achievement-10000768,Five Useless Boxes
achievement-20000768,Obtain a total of 500 mid-exploration rewards.
achievement-30000768,
achievement-10000769,Six Bags of Materials
achievement-20000769,Obtain a total of 1000 mid-exploration rewards.
achievement-30000769,
achievement-10000770,Seven Equipment I Still Want to Get
achievement-20000770,Obtain a total of 2000 mid-exploration rewards.
achievement-30000770,
achievement-10000771,Eight Tired Echelons
achievement-20000771,Obtain a total of 5000 mid-exploration rewards.
achievement-30000771,
achievement-10000772,Candlelight Warning
achievement-20000772,Obtain an effect for the first time.
achievement-30000772,
achievement-10000773,Incandescent Light Warning
achievement-20000773,Obtain 10 effects.
achievement-30000773,
achievement-10000774,Daylight Warning
achievement-20000774,Obtain 20 effects.
achievement-30000774,
achievement-10000775,Neon Light Warning
achievement-20000775,Obtain 50 effects.
achievement-30000775,
achievement-10000776,Light Show Warning
achievement-20000776,Obtain 100 effects.
achievement-30000776,
achievement-10000777,Weld Spark Warning
achievement-20000777,Obtain 150 effects.
achievement-30000777,
achievement-10000778,Light Pollution Warning
achievement-20000778,Obtain 200 effects.
achievement-30000778,
achievement-10000779,Seizure Warning
achievement-20000779,Obtain 300 effects.
achievement-30000779,
achievement-10000780,I Need an Empty Coat Rack
achievement-20000780,Collect 5 pieces of Commander costumes.
achievement-30000780,
achievement-10000781,I Need an Empty Shop Window
achievement-20000781,Collect 15 pieces of Commander costumes.
achievement-30000781,
achievement-10000782,I Need an Empty Wardrobe
achievement-20000782,Collect 30 pieces of Commander costumes.
achievement-30000782,
achievement-10000783,I Need an Empty Room
achievement-20000783,Collect 50 pieces of Commander costumes.
achievement-30000783,
achievement-10000784,I Need an Empty House
achievement-20000784,Collect 80 pieces of Commander costumes.
achievement-30000784,
achievement-10000785,I Need an Empty Warehouse
achievement-20000785,Collect 120 pieces of Commander costumes.
achievement-30000785,
achievement-10000786,I Need a Four Dimensional Pocket
achievement-20000786,Collect 150 pieces of Commander costumes.
achievement-30000786,
achievement-10000787,I Really Have Nothing to Wear
achievement-20000787,Collect 180 pieces of Commander costumes.
achievement-30000787,
achievement-10000788,Dress Regulations
achievement-20000788,Activate a Commander costume set for the first time.
achievement-30000788,
achievement-10000789,Wearing Basic Countermeasures
achievement-20000789,Activate 3 Commander costume sets.
achievement-30000789,
achievement-10000790,Ideal Matching Reference
achievement-20000790,Activate 5 Commander costume sets.
achievement-30000790,
achievement-10000791,Clothing Advanced Tutorial
achievement-20000791,Activate 8 Commander costume sets.
achievement-30000791,
achievement-10000792,Expert Style Guide
achievement-20000792,Activate 12 Commander costume sets.
achievement-30000792,
achievement-10000793,Fashionista Handbook
achievement-20000793,Activate 20 Commander costume sets.
achievement-30000793,
achievement-10000794,Self-Cultivation of Taste
achievement-20000794,Activate 30 Commander costume sets.
achievement-30000794,
achievement-10000795,Realgar//c Cinnabar//c and Lead Oxide
achievement-20000795,Dye a Commander costume for the first time.
achievement-30000795,
achievement-10000796,Bluegrass and Indian Madder
achievement-20000796,Dye Commander costumes 20 times.
achievement-30000796,
achievement-10000797,Tyrian Purple
achievement-20000797,Dye Commander costumes 50 times.
achievement-30000797,
achievement-10000798,Sappan Wood Red
achievement-20000798,Dye Commander costumes 100 times.
achievement-30000798,
achievement-10000799,Malachite Green
achievement-20000799,Dye Commander costumes 200 times.
achievement-30000799,
achievement-10000800,Sulfur Black
achievement-20000800,Dye Commander costumes 400 times.
achievement-30000800,
achievement-10000801,Synthetic Indigo
achievement-20000801,Dye Commander costumes 800 times.
achievement-30000801,
achievement-10000802,Kacelon Reactive Dye
achievement-20000802,Dye Commander costumes 1200 times.
achievement-30000802,
achievement-10000803,Perfect Dive
achievement-20000803,Shattered Connexion - Fractured Cognition II - Combat EX: Win without engaging in a single battle.
achievement-30000803,
achievement-10000804,-500 Points: Polarized Light
achievement-20000804,Polarized Light - Total Internal Reflection II: No hostages die during the mission.
achievement-30000804,
achievement-10000805,Catching Bugs in the Grass
achievement-20000805,Complete 5 Coalition Unit Standard Captures.
achievement-30000805,
achievement-10000806,Moths to A Flame
achievement-20000806,Complete 20 Coalition Unit Standard Captures.
achievement-30000806,
achievement-10000807,Trapping Snakes in a Swamp
achievement-20000807,Complete 50 Coalition Unit Standard Captures.
achievement-30000807,
achievement-10000808,Hunting Rabbits on the Plains
achievement-20000808,Complete 100 Coalition Unit Standard Captures.
achievement-30000808,
